,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma5,ma30_rank,ma30_rank_standard,ma5_rank,ma5_rank_standard
4088,000002.SZ,20030908,0.7813,0.7838,0.7727,0.7764,0.7813,-0.0049,-0.6272,31330.52,19780.6063,0.7995066666666664,0.7882199999999978,5.0,1.0,1.0,-1.0
4087,000002.SZ,20030909,0.7641,0.7653,0.7382,0.7406,0.7764,-0.0357999999999999,-4.611,140881.6,85403.0002,0.7983566666666665,0.7736599999999978,3.0,0.0,1.0,-1.0
4086,000002.SZ,20030910,0.7394,0.7468,0.7234,0.7443,0.7406,0.0036999999999999,0.4996,87493.24,51981.1699,0.7969166666666664,0.7642799999999978,1.0,-1.0,1.0,-1.0
4085,000002.SZ,20030911,0.7443,0.7493,0.7394,0.7456,0.7443,0.0013,0.1747,29889.68,18052.7293,0.795603333333333,0.7576399999999979,1.0,-1.0,1.0,-1.0
4084,000002.SZ,20030912,0.7468,0.7505,0.7394,0.7443,0.7456,-0.0013,-0.1744,23197.24,14009.8112,0.794163333333333,0.7502399999999978,1.0,-1.0,1.0,-1.0
4083,000002.SZ,20030915,0.7419,0.7456,0.7209,0.7259,0.7443,-0.0183999999999999,-2.4721,27730.75,16492.5588,0.7914533333333329,0.7401399999999979,1.0,-1.0,1.0,-1.0
4082,000002.SZ,20030916,0.7271,0.7332,0.7222,0.7332,0.7259,0.0072999999999999,1.0056,33055.27,19518.2404,0.7886999999999996,0.7386599999999979,1.0,-1.0,1.0,-1.0
4081,000002.SZ,20030917,0.7332,0.7332,0.7197,0.7222,0.7332,-0.011,-1.5003,22642.24,13277.3142,0.7858266666666663,0.7342399999999979,1.0,-1.0,1.0,-1.0
4080,000002.SZ,20030918,0.7222,0.7222,0.7148,0.7209,0.7222,-0.0012999999999999,-0.18,24764.39,14441.1554,0.7827866666666663,0.7292999999999978,1.0,-1.0,1.0,-1.0
4079,000002.SZ,20030919,0.7222,0.7259,0.7123,0.716,0.7209,-0.0049,-0.6797,24777.53,14406.6423,0.779993333333333,0.7236399999999978,1.0,-1.0,1.0,-1.0
4078,000002.SZ,20030922,0.7185,0.7246,0.7098,0.7111,0.716,-0.0049,-0.6844,18821.94,10916.6965,0.7769966666666662,0.7206799999999978,1.0,-1.0,1.0,-1.0
4077,000002.SZ,20030923,0.7148,0.7259,0.7024,0.7222,0.7111,0.0110999999999999,1.561,17761.48,10279.1355,0.7743699999999997,0.7184799999999978,1.0,-1.0,1.0,-1.0
4076,000002.SZ,20030924,0.7246,0.7419,0.7234,0.7394,0.7222,0.0171999999999999,2.3816,26582.91,15875.9643,0.7723166666666664,0.7219199999999978,1.0,-1.0,3.0,0.0
4075,000002.SZ,20030925,0.7406,0.7419,0.7234,0.7259,0.7394,-0.0134999999999999,-1.8258,15367.78,9084.9478,0.769893333333333,0.7229199999999978,1.0,-1.0,4.0,0.5
4074,000002.SZ,20030926,0.7271,0.732,0.7222,0.7283,0.7259,0.0023999999999999,0.3306,12019.24,7093.5323,0.7674699999999998,0.7253799999999977,1.0,-1.0,5.0,1.0
4073,000002.SZ,20030929,0.7271,0.7283,0.7086,0.7111,0.7283,-0.0171999999999999,-2.3617,14741.44,8547.5708,0.7642666666666663,0.7253799999999977,1.0,-1.0,4.5,0.75
4072,000002.SZ,20030930,0.7123,0.7283,0.7086,0.7222,0.7111,0.0110999999999999,1.561,19260.53,11256.7002,0.7608599999999996,0.7253799999999977,1.0,-1.0,4.0,0.5
4071,000002.SZ,20031008,0.7246,0.732,0.7209,0.7283,0.7222,0.0060999999999999,0.8446,11799.83,6967.2499,0.7576966666666664,0.7231599999999977,1.0,-1.0,2.0,-0.5
4070,000002.SZ,20031009,0.7283,0.7345,0.7234,0.7259,0.7283,-0.0023999999999999,-0.3295,12421.46,7333.3468,0.7547399999999997,0.7231599999999977,1.0,-1.0,1.5,-0.75
4069,000002.SZ,20031010,0.7271,0.7505,0.7234,0.7456,0.7259,0.0197,2.7139,36807.87,22126.1459,0.7523166666666664,0.7266199999999977,1.0,-1.0,5.0,1.0
4068,000002.SZ,20031013,0.7505,0.7554,0.7394,0.7419,0.7456,-0.0037,-0.4962,25561.99,15457.8775,0.7503866666666663,0.7327799999999977,1.0,-1.0,5.0,1.0
4067,000002.SZ,20031014,0.7419,0.7456,0.732,0.7357,0.7419,-0.0061999999999999,-0.8357,21339.65,12776.7765,0.7482899999999997,0.7354799999999977,1.0,-1.0,5.0,1.0
4066,000002.SZ,20031015,0.7394,0.7764,0.7332,0.7394,0.7357,0.0036999999999999,0.5029,53220.73,32599.5506,0.7467699999999997,0.7376999999999977,1.0,-1.0,5.0,1.0
4065,000002.SZ,20031016,0.7394,0.7394,0.7209,0.7246,0.7394,-0.0147999999999999,-2.0016,19865.13,11753.2409,0.7448399999999997,0.7374399999999978,1.0,-1.0,4.0,0.5
4064,000002.SZ,20031017,0.7271,0.7345,0.7222,0.7271,0.7246,0.0024999999999999,0.345,11990.64,7094.4349,0.7425399999999998,0.7337399999999977,1.0,-1.0,2.0,-0.5
4063,000002.SZ,20031020,0.7246,0.7308,0.7222,0.7283,0.7271,0.0011999999999999,0.165,9233.73,5449.7872,0.739703333333333,0.7310199999999977,1.0,-1.0,1.0,-1.0
4062,000002.SZ,20031021,0.7271,0.7394,0.7234,0.7357,0.7283,0.0074,1.0161,11784.58,7017.1353,0.7371133333333331,0.7310199999999977,1.0,-1.0,1.5,-0.75
4061,000002.SZ,20031022,0.7394,0.7653,0.7345,0.7604,0.7357,0.0246999999999999,3.3573,78522.92,48080.9123,0.7360866666666664,0.7352199999999977,1.0,-1.0,4.0,0.5
