date,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,signal_0,signal_1,signal_2,signal,bcomm,scomm,berror,serror,bcount,bprice,scount,sprice,cash,position,assets
2019-03-13,300059.SZ,20190313,13.9865,14.0003,13.3841,13.4533,14.0695,-0.6161999999999992,-4.3797,3294586.52,6493440.835,13.88952,14.211480000000005,12.643544999999998,11.45089000000001,0.06404493360050546,1.0,1,0.06404493360050546,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8441.71
2019-03-14,300059.SZ,20190314,13.3287,13.7441,13.0933,13.4395,13.4533,-0.013799999999999812,-0.1026,2683492.78,5185933.119,13.623639999999998,14.198330000000007,12.835339999999997,11.600450000000011,0.04707004255438531,1.0,1,0.04707004255438531,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8433.43
2019-03-15,300059.SZ,20190315,13.571,13.668,13.2456,13.3287,13.4395,-0.11080000000000112,-0.8244,2207586.16,4293605.821,13.616719999999997,14.084090000000007,13.032329999999996,11.746316666666678,0.022741136849665656,1.0,1,0.022741136849665656,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8366.95
2019-03-18,300059.SZ,20190318,13.2802,13.8826,12.9202,13.8272,13.3287,0.4985,3.74,2887764.39,5607973.322000001,13.623639999999998,14.016230000000007,13.222739999999996,11.909723333333345,0.04571367205284255,1.0,1,0.04571367205284255,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8666.05
2019-03-19,300059.SZ,20190319,13.7026,13.8411,13.4672,13.571,13.8272,-0.25619999999999976,-1.8529,2002925.8,3953745.435,13.52394,13.899910000000009,13.402764999999997,12.069896666666677,0.012552260671585515,1.0,1,0.012552260671585515,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8512.33
2019-03-20,300059.SZ,20190320,13.5849,13.9865,13.4949,13.758,13.571,0.1869999999999994,1.3779,2594294.75,5141409.421,13.584879999999998,13.73720000000001,13.590059999999998,12.240920000000012,0.012357561335270158,1.0,1,0.012357561335270158,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8624.53
2019-03-21,300059.SZ,20190321,13.8341,14.485,13.6818,14.0142,13.758,0.25620000000000154,1.8622,3631851.64,7407540.325,13.699819999999997,13.66173000000001,13.760044999999996,12.411020000000011,0.018470506455466128,1.0,1,0.018470506455466128,0.0,0.0,,,0,0.0,0,0.0,369.7325719999987,600,8778.25
2019-03-22,300059.SZ,20190322,13.9449,14.0765,13.4395,13.7441,14.0142,-0.2701000000000011,-1.9273,2289149.33,4545799.606000001,13.782899999999998,13.699810000000008,13.863559999999996,12.562653333333344,-0.008616834348464364,1.0,1,-0.008616834348464364,0.0,32.985839999999996,,,0,0.0,600,13.7441,8583.206731999999,0,8583.21
2019-03-25,300059.SZ,20190325,13.3633,13.5018,12.9825,13.0102,13.7441,-0.7339000000000002,-5.3397,2678649.16,5123639.697,13.619499999999999,13.621570000000009,13.871869999999996,12.684516666666676,-0.06211635489663592,1.0,1,-0.06211635489663592,0.0,0.0,,,0,0.0,0,0.0,8583.206731999999,0,8583.21
2019-03-26,300059.SZ,20190326,13.1279,13.2248,12.5601,12.7055,13.0102,-0.30469999999999864,-2.342,2292097.4,4269515.598999999,13.4464,13.485170000000007,13.832054999999997,12.79830000000001,-0.08144523716830192,1.0,1,-0.08144523716830192,0.0,0.0,,,0,0.0,0,0.0,8583.206731999999,0,8583.21
2019-03-27,300059.SZ,20190327,12.8163,12.9202,12.5186,12.7471,12.7055,0.04159999999999897,0.3274,2010925.21,3703449.267,13.244220000000002,13.414550000000009,13.813014999999996,12.900546666666676,-0.07716743954886005,1.0,1,-0.07716743954886005,0.0,0.0,,,0,0.0,0,0.0,8583.206731999999,0,8583.21
2019-03-28,300059.SZ,20190328,12.6155,12.8509,12.4701,12.4701,12.7471,-0.27699999999999925,-2.173,2146316.57,3908052.671,12.935400000000001,13.317610000000007,13.757969999999995,12.996096666666677,-0.093609013539061,1.0,1,-0.093609013539061,0.0,0.0,,,0,0.0,0,0.0,8583.206731999999,0,8583.21
2019-03-29,300059.SZ,20190329,12.5878,13.4325,12.5255,13.4187,12.4701,0.948599999999999,7.607,3904923.97,7366805.448,12.870320000000001,13.326610000000008,13.705349999999996,13.130423333333344,-0.02091519005351898,1.0,1,-0.02091519005351898,0.0,0.0,,,0,0.0,0,0.0,8583.206731999999,0,8583.21
2019-04-01,300059.SZ,20190401,13.4741,14.4573,13.2941,14.0211,13.4187,0.6024000000000012,4.4893,4234455.86,8487223.826,13.072500000000002,13.346000000000007,13.681114999999995,13.263826666666677,0.024850679202682375,1.0,1,0.024850679202682375,30.285576,0.0,,,600,14.0211,0,0.0,140.2611559999989,600,8552.92
2019-04-02,300059.SZ,20190402,14.027999999999999,14.9004,13.9241,14.1596,14.0211,0.13849999999999876,0.9878,4505304.25,9344278.215,13.363320000000002,13.404860000000008,13.652384999999995,13.403463333333343,0.03715211664482097,1.0,1,0.03715211664482097,0.0,0.0,,,0,0.0,0,0.0,140.2611559999989,600,8636.02
2019-04-03,300059.SZ,20190403,13.8618,14.6027,13.8341,14.4573,14.1596,0.29770000000000074,2.1025,3615190.05,7428197.386,13.705360000000002,13.474790000000008,13.605994999999993,13.551636666666676,0.06256837519049563,1.0,1,0.06256837519049563,0.0,0.0,,,0,0.0,0,0.0,140.2611559999989,600,8814.64
2019-04-04,300059.SZ,20190404,14.5611,14.6789,14.1596,14.2288,14.4573,-0.2285000000000004,-1.5805,2579388.47,5344478.412,14.057100000000002,13.496250000000007,13.578989999999994,13.672113333333341,0.047854074566665565,1.0,1,0.047854074566665565,0.0,0.0,,,0,0.0,0,0.0,140.2611559999989,600,8677.54
2019-04-08,300059.SZ,20190408,14.4019,14.4157,13.571,13.9103,14.2288,-0.3185000000000002,-2.2384,2818824.9,5680924.618,14.155420000000003,13.512870000000007,13.606339999999994,13.746663333333341,0.02233958581073275,1.0,1,0.02233958581073275,0.0,0.0,,,0,0.0,0,0.0,140.2611559999989,600,8486.44
2019-04-09,300059.SZ,20190409,13.8411,14.0418,13.5849,13.7787,13.9103,-0.13159999999999886,-0.9461,2066123.21,4111948.791,14.106940000000003,13.589720000000005,13.605644999999996,13.777820000000009,0.012719352886247225,1.0,1,0.012719352886247225,0.0,0.0,,,0,0.0,0,0.0,140.2611559999989,600,8407.48
2019-04-10,300059.SZ,20190410,13.661,13.6818,13.1002,13.300999999999998,13.7787,-0.4777000000000005,-3.4669,2936578.67,5633637.158,13.935220000000005,13.649270000000005,13.567219999999995,13.771126666666675,-0.019622295503426427,0.33333333333333326,0,-0.0,0.0,31.9224,,,0,0.0,600,13.300999999999998,8088.938755999998,0,8088.94
2019-04-11,300059.SZ,20190411,13.2525,13.4741,13.0102,13.2456,13.300999999999998,-0.05540000000000056,-0.4165,2189155.9,4179672.5719999997,13.692880000000002,13.699120000000004,13.556834999999996,13.77505000000001,-0.022957792139536734,0.33333333333333326,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,8088.938755999998,0,8088.94
2019-04-12,300059.SZ,20190412,13.2664,13.4187,13.1694,13.2664,13.2456,0.020800000000001262,0.157,1643041.46,3158852.244,13.500400000000003,13.778750000000006,13.548179999999993,13.764896666666674,-0.020798365536920275,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,8088.938755999998,0,8088.94
2019-04-15,300059.SZ,20190415,13.5779,13.6472,12.8094,12.8371,13.2664,-0.42930000000000135,-3.236,2190389.91,4194069.5930000003,13.285760000000002,13.720590000000005,13.523599999999993,13.710430000000008,-0.05076311041438624,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,8088.938755999998,0,8088.94
