,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,ma30_rank,ma30_rank_standard,signal,close5v,close10v,close20v,close30v
734,300022.SZ,20180425,4.54,4.6,4.52,4.58,4.56,0.0200000000000004,0.4386,38762.0,17700.545,4.545999999999954,4.56699999999997,4.688999999999992,4.814666666666666,1.0,-1.0,-1.0,9.868995633187772,9.956331877729257,9.934497816593886,9.279475982532752
733,300022.SZ,20180426,4.56,4.59,4.43,4.43,4.58,-0.1500000000000003,-3.2751,42591.69,19140.675,4.509999999999954,4.53999999999997,4.6689999999999925,4.784333333333333,1.0,-1.0,-1.0,10.406320541760723,10.067720090293456,10.135440180586908,9.706546275395034
732,300022.SZ,20180427,4.44,4.54,4.44,4.49,4.43,0.0600000000000005,1.3544,32380.2,14565.56,4.507999999999955,4.51999999999997,4.652499999999993,4.762,1.0,-1.0,-1.0,10.267260579064587,10.066815144766146,9.910913140311804,9.532293986636972
731,300022.SZ,20180502,4.53,4.55,4.44,4.47,4.49,-0.0200000000000004,-0.4454,30976.0,13915.161,4.505999999999954,4.50899999999997,4.632499999999992,4.741666666666665,1.0,-1.0,-1.0,10.380313199105144,10.134228187919465,9.373601789709173,9.217002237136466
730,300022.SZ,20180503,4.47,4.52,4.39,4.51,4.47,0.04,0.8949,39072.79,17429.142,4.495999999999954,4.51399999999997,4.610999999999993,4.722666666666665,1.0,-1.0,-1.0,10.33259423503326,10.022172949002217,9.42350332594235,9.201773835920179
729,300022.SZ,20180504,4.48,4.54,4.47,4.52,4.51,0.0099999999999997,0.2217,37662.0,16989.429,4.483999999999954,4.51499999999997,4.591499999999993,4.704333333333333,1.0,-1.0,-1.0,10.08849557522124,10.199115044247788,10.353982300884956,8.849557522123895
728,300022.SZ,20180507,4.5,4.62,4.5,4.61,4.52,0.0900000000000007,1.9912,52245.97,23859.258,4.519999999999954,4.51499999999997,4.581999999999993,4.688333333333333,1.0,-1.0,-1.0,9.67462039045553,10.173535791757049,9.956616052060737,7.939262472885033
727,300022.SZ,20180508,4.6,4.64,4.57,4.61,4.61,0.0,0.0,42752.03,19648.179,4.543999999999954,4.5259999999999705,4.572499999999993,4.672333333333333,1.0,-1.0,-1.0,9.804772234273317,10.151843817787418,9.761388286334057,8.06941431670282
726,300022.SZ,20180509,4.62,4.67,4.59,4.64,4.61,0.0299999999999993,0.6508,49167.0,22765.485,4.577999999999955,4.5419999999999705,4.567499999999994,4.6563333333333325,1.0,-1.0,-1.0,9.76293103448276,9.956896551724139,9.482758620689657,7.737068965517242
725,300022.SZ,20180510,4.65,4.69,4.62,4.66,4.64,0.0200000000000004,0.431,51789.01,24105.929,4.607999999999955,4.551999999999969,4.566999999999993,4.648333333333332,1.0,-1.0,-1.0,9.699570815450642,10.107296137339056,9.270386266094421,7.875536480686694
724,300022.SZ,20180511,4.66,4.68,4.55,4.56,4.66,-0.1000000000000005,-2.1459,40620.02,18691.319,4.615999999999955,4.5499999999999705,4.558499999999993,4.642666666666666,1.0,-1.0,-1.0,10.109649122807019,9.978070175438598,9.320175438596491,7.938596491228072
723,300022.SZ,20180514,4.55,4.59,4.45,4.46,4.56,-0.0999999999999996,-2.193,46275.56,20894.46,4.585999999999955,4.552999999999971,4.546499999999993,4.630333333333332,1.0,-1.0,-1.0,10.515695067264573,10.067264573991032,9.641255605381167,8.4304932735426
722,300022.SZ,20180515,4.46,4.53,4.43,4.52,4.46,0.0599999999999996,1.3453,40159.71,17965.443,4.567999999999955,4.555999999999971,4.537999999999992,4.620333333333333,1.0,-1.0,-1.0,10.353982300884956,9.845132743362834,9.469026548672568,8.296460176991152
721,300022.SZ,20180516,4.5,4.6,4.48,4.53,4.52,0.0100000000000006,0.2212,43122.62,19563.509,4.545999999999955,4.561999999999971,4.535499999999993,4.608999999999999,1.0,-1.0,-1.0,10.19867549668874,9.24944812362031,9.094922737306844,8.189845474613687
720,300022.SZ,20180517,4.51,4.57,4.5,4.52,4.53,-0.0100000000000006,-0.2208,31790.0,14408.393,4.517999999999955,4.562999999999971,4.538499999999993,4.595,1.0,-1.0,-1.0,10.420353982300885,9.402654867256638,9.181415929203542,8.47345132743363
719,300022.SZ,20180518,4.53,4.65,4.52,4.61,4.52,0.0900000000000007,1.9912,50151.8,23036.249,4.527999999999955,4.571999999999972,4.543499999999993,4.585,1.0,-1.0,-1.0,9.869848156182211,10.151843817787418,8.676789587852493,8.112798264642082
718,300022.SZ,20180521,4.62,4.7,4.62,4.69,4.61,0.08,1.7354,56723.87,26399.545,4.573999999999955,4.579999999999972,4.547499999999992,4.581333333333333,1.0,-1.0,-1.0,9.573560767590617,9.786780383795309,7.803837953091684,8.166311300639657
717,300022.SZ,20180522,4.69,4.75,4.65,4.68,4.69,-0.0100000000000006,-0.2132,42174.02,19745.003,4.6059999999999555,4.586999999999971,4.556499999999993,4.577333333333333,1.0,-1.0,-1.0,9.508547008547009,9.615384615384615,7.948717948717949,8.141025641025642
716,300022.SZ,20180523,4.68,4.74,4.61,4.62,4.68,-0.0599999999999996,-1.2821,47795.1,22378.386,4.623999999999955,4.584999999999971,4.563499999999992,4.573333333333333,1.0,-1.0,-1.0,9.06926406926407,9.523809523809524,7.77056277056277,7.9004329004329
715,300022.SZ,20180524,4.6,4.72,4.6,4.71,4.62,0.0899999999999998,1.9481,51998.0,24252.129,4.6619999999999555,4.589999999999971,4.570999999999993,4.574666666666667,2.0,-0.33333333333333326,-0.33333333333333326,9.023354564755838,9.171974522292993,7.791932059447983,8.535031847133757
714,300022.SZ,20180525,4.7,4.71,4.53,4.55,4.71,-0.1600000000000001,-3.397,48697.0,22474.687,4.649999999999956,4.588999999999971,4.569499999999993,4.568666666666668,1.0,-1.0,-1.0,10.285714285714285,9.340659340659341,7.956043956043956,8.87912087912088
713,300022.SZ,20180528,4.55,4.62,4.47,4.49,4.55,-0.0599999999999996,-1.3187,49897.21,22622.68,4.609999999999955,4.591999999999971,4.572499999999992,4.561666666666668,1.0,-1.0,-1.0,10.222717149220488,9.576837416481068,8.374164810690422,8.752783964365257
712,300022.SZ,20180529,4.49,4.53,4.42,4.45,4.49,-0.04,-0.8909,41143.57,18365.817,4.563999999999956,4.584999999999971,4.570499999999992,4.553666666666668,1.0,-1.0,-1.0,10.112359550561798,9.617977528089888,8.42696629213483,8.404494382022472
