,lable,text
2417,0.15867105423072275,18.8579
2416,0.17814312637573634,18.8456
2415,0.19889906413901254,19.7879
2414,0.2281611342672344,22.3102
2413,0.22635417372259503,22.8542
2412,0.2078508645302026,21.7612
2411,0.17922914691484643,19.234
2410,0.14818905757292167,20.2775
2409,0.13648303958755412,20.327
2408,0.1166118497482896,20.7721
2407,0.08516111515818957,20.4259
2406,0.04686608341434016,19.7236
2405,0.0005441696676753036,19.5851
2404,-0.0554589161119708,17.0727
2403,-0.12510675787018366,17.7057
2402,-0.15575851620972675,16.5682
2401,-0.18987695749440744,15.2774
2400,-0.2173973368536619,14.1201
2399,-0.18839248536507708,15.0795
2398,-0.15480952661907296,15.312
2397,-0.12797139366535185,14.6938
2396,-0.11390035220926727,16.8155
2395,-0.10796070007245488,16.6572
2394,-0.11189945971935757,17.1716
2393,-0.12041415488240743,16.4693
2392,-0.12490806570237784,15.3318
2391,-0.12975068561455955,15.5791
2390,-0.11735983854192408,16.0538
2389,-0.08989449351872163,16.3209
2388,-0.07255651773932896,15.8263
2387,-0.05783883044823808,16.7166
2386,-0.031303684350469346,16.7561
2385,-0.008302948890167517,17.1023
2384,-0.006390850792291445,16.7908
2383,0.0013345679299933753,17.32
2382,0.010389095356731699,17.1963
2381,0.013721883922132867,16.7908
2380,0.01967322168407569,17.3101
2379,0.03338075183629568,16.8155
2378,0.0446346371945119,16.7809
2377,0.04828336324673167,17.2062
2376,0.050847417812804774,17.5574
2375,0.04633791993852531,17.9827
2374,0.03329389512182723,16.9045
2373,0.01976365423946672,16.8155
2372,0.01631762601415777,16.6523
2371,0.01207381920550558,17.2161
2370,0.00632717835624978,17.6563
2369,-0.0006827067242044854,17.043
2368,-0.005147121023443404,16.949
2367,-0.012654026979688178,16.3852
2366,-0.025406654324341738,16.5731
2365,-0.033136403749876045,16.8649
2364,-0.03761115535204709,16.2616
2363,-0.052012156979205366,15.8214
2362,-0.06447901199034488,15.9253
2361,-0.0691940933223757,15.95
