,date,lable,text
1567,20131225,1.011051373954595,1.227979274611399
1566,20131226,1.0270323892664008,1.2517482517482519
1565,20131227,1.0405652453184402,1.2613240418118468
1564,20131230,1.0581441263573501,1.1993243243243243
1563,20131231,1.0530938517714354,1.128038897893031
1562,20140102,1.0528234946289499,1.134920634920635
1561,20140103,1.0564813449343708,1.1497659906396256
1560,20140106,1.0489098408956938,1.1160572337042924
1559,20140107,1.0557839107457383,1.1860095389507155
1558,20140108,1.0669137729223521,1.1974317817014446
1557,20140109,1.0669523299410775,1.1462639109697934
1556,20140110,1.063420323662337,1.1384136858475895
1555,20140113,1.0797849149832828,1.2183544303797469
1554,20140114,1.0798845043310832,1.2277070063694266
1553,20140115,1.0771879483500673,1.2297734627831716
1552,20140116,1.0772818121252454,1.15625
1551,20140117,1.0748260684367414,1.1643192488262912
1550,20140120,1.0565770862800523,1.1145510835913313
1549,20140121,1.0401089611121503,1.1484992101105844
1548,20140122,1.0285794471210021,1.1781701444622792
1547,20140123,1.0231020027945925,1.1627172195892574
1546,20140124,1.0154531532785698,1.140625
1545,20140127,1.0129508425010396,1.1093749999999998
1544,20140128,1.0052939537475574,1.1026856240126384
1543,20140129,0.9961046188091216,1.1153238546603474
1542,20140130,0.9766923576933744,1.013782542113323
1541,20140207,0.961891515994432,1.0444104134762635
1540,20140210,0.9580228629610726,1.0338733431516935
1539,20140211,0.9573967228248279,1.036764705882353
1538,20140212,0.9599889242696893,1.0623145400593472
1537,20140213,0.9763387297633827,1.0791044776119403
1536,20140214,0.9892146017699068,1.076583210603829
1535,20140217,1.0010588831085079,1.1212574850299402
1534,20140218,1.0102505171224958,1.118796992481203
1533,20140219,1.0214403518416666,1.1581325301204821
1532,20140220,1.0253946465339694,1.0911764705882354
1531,20140221,1.028634159729206,1.1588785046728973
1530,20140224,1.0302836814740446,1.1950078003120124
1529,20140225,1.02470432439837,1.1061538461538463
1528,20140226,1.0111126354781135,1.0530973451327432
1527,20140227,0.9984888034070571,1.0252225519287834
1526,20140228,0.9857772068269365,1.019174041297935
1525,20140303,0.9744273755864183,1.084848484848485
1524,20140304,0.9751418161693449,1.0706766917293233
1523,20140305,0.9786074019313362,1.0635155096011817
1522,20140306,0.991265770137248,1.0760233918128657
1521,20140307,1.0015726179463416,1.0401721664275467
1520,20140310,0.9952751528626971,0.8970013037809648
1519,20140311,0.9920207830766332,0.8921694480102697
1518,20140312,0.9828837209302282,0.9088471849865952
1517,20140313,0.9697817571348585,0.9379310344827586
1516,20140314,0.9608411214953226,0.8596491228070176
1515,20140317,0.9641855245932255,0.9306666666666668
1514,20140318,0.9654978962131794,0.9174311926605505
1513,20140319,0.9714713310260925,0.8880407124681934
1512,20140320,0.9718290119131002,0.9396433470507544
1511,20140321,0.9739950511228306,0.96398891966759
1510,20140324,0.9727684618618295,0.9746478873239437
1509,20140325,0.9715861295448129,1.0116618075801749
1508,20140326,0.9735796118774799,1.0933125972006221
1507,20140327,0.9741355074500939,1.0510046367851622
1506,20140328,0.962495882546699,1.0110584518167458
1505,20140331,0.9512679788039318,1.0047543581616483
1504,20140401,0.9417692636782765,1.0062402496099845
1503,20140402,0.9285304247990769,0.9352941176470589
1502,20140403,0.9215460051918036,0.9756097560975611
1501,20140404,0.9274018258223399,0.984732824427481
1500,20140408,0.936306660836608,0.96996996996997
1499,20140409,0.9414115812049083,0.9923896499238964
1498,20140410,0.9492055732094793,0.9790104947526237
1497,20140411,0.9533094899808877,1.0188976377952756
1496,20140414,0.956948603406799,1.0124416796267497
1495,20140415,0.9592550623244767,0.9938080495356038
1494,20140416,0.96881168574812,0.9854862119013063
1493,20140417,0.9742650697812482,0.9594202898550724
1492,20140418,0.9813195548489617,0.9577874818049491
1491,20140421,0.9834397446129242,0.9375
1490,20140422,0.9844476671500675,0.9353891336270191
1489,20140423,0.9756806899663991,0.9510385756676558
1488,20140424,0.9683840160844382,0.9292035398230087
1487,20140425,0.9557495332761442,0.877906976744186
1486,20140428,0.9431570407180114,0.8497109826589595
1485,20140429,0.9355216881594322,0.8465909090909091
1484,20140430,0.9269317483090747,0.9416403785488959
1483,20140505,0.9223400968173807,0.9523809523809524
1482,20140506,0.9262036510316957,0.949685534591195
1481,20140507,0.9319328168061931,0.9379968203497616
1480,20140508,0.9360790257669942,0.9295774647887325
1479,20140509,0.9352616355508757,0.8930232558139535
1478,20140512,0.937678552534118,0.911901081916538
1477,20140513,0.9385065107626841,0.9193798449612403
1476,20140514,0.9434324065196497,0.9201228878648234
1475,20140515,0.9408559063952504,0.8058659217877094
1474,20140516,0.942710009655611,0.8062234794908062
1473,20140519,0.9520996670604609,0.911242603550296
1472,20140520,0.9612903225806398,0.8982558139534883
1471,20140521,0.968012924071077,0.9461538461538462
1470,20140522,0.9794927145169939,0.9112781954887217
1469,20140523,0.9928034197283644,0.9319938176197837
1468,20140526,0.9923515052888473,0.8525280898876405
1467,20140527,0.9887420460107631,0.8424753867791842
1466,20140528,0.9890433360588663,0.8505586592178771
1465,20140529,0.988524590163929,0.824585635359116
1464,20140530,0.9912728470278226,0.8422535211267607
1463,20140603,0.9923445503111694,0.8620689655172414
1462,20140604,0.9939199646252432,0.8293706293706293
1461,20140605,0.9939608842595101,0.8168249660786974
1460,20140606,0.9981127886323212,0.8603988603988605
1459,20140609,1.0021691973969575,0.8096514745308311
1458,20140610,1.00718222816101,0.8203753351206434
1457,20140611,1.0128005342831643,0.8474341192787795
1456,20140612,1.012289384418612,0.8237704918032787
1455,20140613,1.013502250375057,0.7922077922077921
1454,20140616,1.0150463605574316,0.7924773022049287
1453,20140617,1.0143705265494034,0.8052631578947369
1452,20140618,1.0109329041567177,0.8108108108108107
1451,20140619,1.0032765035819347,0.7768817204301075
1450,20140620,0.9957219845546916,0.8138888888888889
1449,20140623,0.9879531449508628,0.8115543328748281
1448,20140624,0.9806251040914836,0.8038147138964579
1447,20140625,0.9755040826528851,0.7921195652173912
1446,20140626,0.9833388870376482,0.8246575342465753
1445,20140627,0.9884114222345379,0.8535211267605634
1444,20140630,0.9917547451718162,0.8681948424068767
1443,20140701,1.0001106806862141,0.8711048158640228
1442,20140702,1.012836118180806,0.9395770392749244
1441,20140703,1.0182542316627885,0.907624633431085
1440,20140704,1.0210084033613385,0.8774928774928775
1439,20140707,1.0227649464029114,0.8695035460992908
