,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma30,ma5_-1,ma30_-1,close5v,close10v,close20v,close30v,select
1433,300022.SZ,20140903,7.02,7.18,7.02,7.12,7.01,0.1100000000000003,1.5692,118283.89,84030.0116,6.919999999999973,6.746000000000013,6.857999999999973,6.714666666666679,10.168539325842696,10.491573033707864,11.980337078651683,10.646067415730338,False
1432,300022.SZ,20140904,7.15,7.2,7.07,7.12,7.12,0.0,0.0,115852.04,82664.2973,7.013999999999973,6.7753333333333465,6.919999999999973,6.746000000000013,10.407303370786515,10.660112359550562,11.994382022471907,10.997191011235953,False
1431,300022.SZ,20140905,7.12,7.17,7.0,7.14,7.12,0.0199999999999995,0.2809,139722.27,98883.52,7.077999999999973,6.803000000000012,7.013999999999973,6.7753333333333465,10.35014005602241,10.238095238095237,11.876750700280114,10.966386554621849,False
1430,300022.SZ,20140909,7.13,7.18,7.05,7.15,7.14,0.0100000000000006,0.1401,97569.56,69426.7199,7.107999999999973,6.827000000000012,7.077999999999973,6.803000000000012,9.986013986013985,10.6993006993007,11.846153846153847,11.216783216783215,False
1429,300022.SZ,20140910,7.15,7.46,7.11,7.34,7.15,0.1899999999999995,2.6573,199166.24,146164.1028,7.173999999999973,6.856333333333345,7.107999999999973,6.827000000000012,9.959128065395095,10.599455040871934,11.22615803814714,10.912806539509535,False
1428,300022.SZ,20140911,7.31,7.45,7.18,7.24,7.34,-0.0999999999999996,-1.3624,137224.89,100477.0113,7.197999999999972,6.8813333333333455,7.173999999999973,6.856333333333345,10.317679558011047,11.11878453038674,11.298342541436464,11.091160220994475,False
1427,300022.SZ,20140912,7.25,7.43,7.23,7.41,7.24,0.1699999999999999,2.3481,100249.06,73603.2189,7.255999999999972,6.911000000000012,7.197999999999972,6.8813333333333455,10.242914979757085,11.039136302294196,10.68825910931174,10.6612685560054,False
1426,300022.SZ,20140915,7.44,7.48,7.28,7.39,7.41,-0.0200000000000004,-0.2699,117526.82,86868.4919,7.305999999999972,6.938666666666678,7.255999999999972,6.911000000000012,9.891745602165088,12.178619756427604,10.90663058186739,10.920162381596754,False
1425,300022.SZ,20140916,7.41,7.45,7.1,7.14,7.39,-0.25,-3.3829,120520.2,88125.977,7.303999999999972,6.956333333333344,7.305999999999972,6.938666666666678,10.714285714285715,12.184873949579831,10.952380952380953,11.484593837535012,False
1424,300022.SZ,20140917,7.18,7.35,7.09,7.31,7.14,0.1699999999999999,2.381,99662.96,72026.0548,7.297999999999972,6.974333333333344,7.303999999999972,6.956333333333344,10.64295485636115,12.079343365253079,10.711354309165529,11.491108071135432,False
1423,300022.SZ,20140918,7.33,7.56,7.28,7.47,7.31,0.1600000000000001,2.1888,159645.94,118572.4603,7.343999999999971,6.999333333333343,7.297999999999972,6.974333333333344,10.776439089692103,11.4190093708166,10.147255689424364,11.137884872824632,False
1422,300022.SZ,20140919,7.48,7.66,7.39,7.59,7.47,0.1200000000000001,1.6064,142161.46,107364.5717,7.3799999999999715,7.031333333333344,7.343999999999971,6.999333333333343,10.777338603425559,11.251646903820816,10.316205533596838,10.790513833992094,False
1421,300022.SZ,20140922,7.52,7.52,7.25,7.31,7.59,-0.2800000000000002,-3.6891,77661.65,57280.6936,7.3639999999999715,7.0483333333333436,7.3799999999999715,7.031333333333344,12.311901504787963,11.600547195622436,10.711354309165529,11.258549931600548,False
1420,300022.SZ,20140923,7.31,7.74,7.27,7.65,7.31,0.3400000000000007,4.6512,146060.9,109974.0543,7.465999999999971,7.075333333333344,7.3639999999999715,7.0483333333333436,11.372549019607842,11.071895424836601,10.483660130718953,9.986928104575162,False
1419,300022.SZ,20140924,7.64,7.95,7.6,7.78,7.65,0.1299999999999999,1.6993,164136.72,127703.4847,7.559999999999971,7.106333333333343,7.465999999999971,7.075333333333344,11.349614395886888,10.591259640102828,10.295629820051413,9.858611825192801,False
1418,300022.SZ,20140925,7.7,8.28,7.68,8.05,7.78,0.2700000000000004,3.4704,261257.53,210998.034,7.675999999999971,7.15000000000001,7.559999999999971,7.106333333333343,10.596273291925463,10.161490683229813,9.975155279503104,9.577639751552795,False
1417,300022.SZ,20140926,8.01,8.53,7.96,8.18,8.05,0.129999999999999,1.6149,280491.79,231934.9298,7.793999999999971,7.19800000000001,7.675999999999971,7.15000000000001,10.440097799511001,9.682151589242054,9.657701711491443,9.38875305623472,False
1416,300022.SZ,20140929,8.27,9.0,8.17,9.0,8.18,0.8200000000000003,10.0244,416037.16,363791.4399,8.131999999999971,7.27200000000001,7.793999999999971,7.19800000000001,9.422222222222222,8.955555555555556,8.966666666666667,8.577777777777778,False
1415,300022.SZ,20140930,9.16,9.21,8.5,8.7,9.0,-0.3000000000000007,-3.3333,428901.4,376294.364,8.34199999999997,7.332666666666677,8.131999999999971,7.27200000000001,9.735632183908047,8.988505747126437,9.425287356321839,9.068965517241379,False
1414,300022.SZ,20141008,8.55,8.88,8.55,8.83,8.7,0.1300000000000007,1.4943,240216.0,210342.7281,8.55199999999997,7.396666666666677,8.34199999999997,7.332666666666677,9.331823329558324,8.867497168742922,9.513023782559456,9.173272933182332,False
1413,300022.SZ,20141009,8.75,8.79,8.4,8.53,8.83,-0.3000000000000007,-3.3975,237523.63,203131.2879,8.647999999999971,7.4490000000000105,8.55199999999997,7.396666666666677,9.58968347010551,8.886283704572099,9.753810082063307,9.472450175849943,False
1412,300022.SZ,20141010,8.52,8.63,8.36,8.54,8.53,0.0099999999999997,0.1172,155714.25,132222.1409,8.71999999999997,7.5036666666666765,8.647999999999971,7.4490000000000105,9.274004683840749,9.168618266978925,9.59016393442623,9.906323185011711,False
1411,300022.SZ,20141013,8.44,8.57,8.25,8.48,8.54,-0.0599999999999987,-0.7026,158739.65,133644.2636,8.615999999999971,7.55000000000001,8.71999999999997,7.5036666666666765,9.504716981132075,9.233490566037736,9.705188679245284,10.165094339622641,False
1410,300022.SZ,20141014,8.5,8.68,8.37,8.47,8.48,-0.0099999999999997,-0.1179,150997.36,129229.2151,8.56999999999997,7.59800000000001,8.615999999999971,7.55000000000001,9.23258559622196,9.468713105076741,9.020070838252655,10.767414403778039,False
1409,300022.SZ,20141015,8.38,8.38,8.03,8.24,8.47,-0.2300000000000004,-2.7155,147510.04,121125.3458,8.451999999999972,7.64900000000001,8.56999999999997,7.59800000000001,9.502427184466018,9.720873786407767,9.308252427184465,10.825242718446601,False
1408,300022.SZ,20141016,8.2,8.38,8.09,8.18,8.24,-0.0600000000000005,-0.7282,86725.43,71491.0088,8.381999999999971,7.694666666666676,8.451999999999972,7.64900000000001,9.266503667481663,9.816625916870414,9.425427872860636,11.161369193154036,False
1407,300022.SZ,20141017,8.07,8.18,7.74,7.92,8.18,-0.2599999999999998,-3.1785,142247.99,112754.4904,8.25799999999997,7.737000000000009,8.381999999999971,7.694666666666676,9.886363636363637,9.974747474747476,9.696969696969697,11.01010101010101,False
1406,300022.SZ,20141020,7.91,8.1,7.86,8.06,7.92,0.1400000000000005,1.7677,96875.03,77599.2208,8.173999999999973,7.778333333333342,8.25799999999997,7.737000000000009,9.714640198511166,10.01240694789082,9.578163771712159,10.620347394540943,False
1405,300022.SZ,20141021,8.04,8.1,7.82,7.82,8.06,-0.2400000000000002,-2.9777,86182.21,68422.6448,8.043999999999972,7.805666666666676,8.173999999999973,7.778333333333342,10.255754475703325,10.485933503836316,10.089514066496164,11.010230179028131,False
1404,300022.SZ,20141022,7.78,7.92,7.7,7.83,7.82,0.0099999999999997,0.1279,108331.74,84611.6922,7.961999999999972,7.83300000000001,8.043999999999972,7.805666666666676,10.229885057471265,10.727969348659004,10.344827586206895,12.094508301404854,False
1403,300022.SZ,20141023,7.77,8.0,7.53,7.58,7.83,-0.25,-3.1928,81744.05,63380.8018,7.841999999999972,7.848333333333343,7.961999999999972,7.83300000000001,10.593667546174142,10.976253298153033,10.659630606860159,13.03430079155673,False
1402,300022.SZ,20141024,7.55,7.87,7.52,7.83,7.58,0.25,3.2982,109648.02,84634.7479,7.823999999999971,7.8720000000000105,7.841999999999972,7.848333333333343,10.089399744572159,10.459770114942529,10.804597701149426,11.979565772669222,False
1401,300022.SZ,20141027,7.77,7.92,7.72,7.83,7.83,0.0,0.0,59662.61,46787.5091,7.77799999999997,7.895000000000011,7.823999999999971,7.8720000000000105,10.306513409961687,10.510855683269478,11.008939974457215,12.094508301404854,False
1400,300022.SZ,20141028,7.88,8.06,7.85,8.02,7.83,0.1899999999999995,2.4266,92232.0,73414.8508,7.817999999999969,7.924000000000011,7.77799999999997,7.895000000000011,10.224438902743142,9.526184538653368,11.371571072319203,10.698254364089777,False
1399,300022.SZ,20141029,8.04,8.1,7.94,8.01,8.02,-0.0099999999999997,-0.1247,141879.88,113822.3547,7.853999999999969,7.946333333333344,7.817999999999969,7.924000000000011,10.486891385767791,9.575530586766542,11.136079900124844,11.198501872659177,False
1398,300022.SZ,20141030,8.03,8.17,7.94,8.03,8.01,0.0199999999999995,0.2497,130283.3,104778.1087,7.94399999999997,7.972666666666678,7.853999999999969,7.946333333333344,10.36114570361146,9.601494396014944,11.36986301369863,12.291407222914073,False
1397,300022.SZ,20141031,8.0,8.0,7.76,7.9,8.03,-0.129999999999999,-1.6189,85551.39,67449.0288,7.95799999999997,7.9890000000000105,7.94399999999997,7.972666666666678,10.367088607594937,9.721518987341772,11.037974683544306,13.063291139240507,False
1396,300022.SZ,20141103,7.88,8.14,7.85,8.07,7.9,0.1699999999999999,2.1519,110863.91,88907.0981,8.00599999999997,8.011666666666677,7.95799999999997,7.9890000000000105,10.198265179677819,9.56629491945477,10.60718711276332,12.850061957868649,False
1395,300022.SZ,20141104,8.08,8.23,8.0,8.2,8.07,0.129999999999999,1.6109,102152.81,82856.0283,8.04199999999997,8.047000000000011,8.00599999999997,8.011666666666677,9.317073170731708,9.621951219512196,10.5,12.512195121951219,False
1394,300022.SZ,20141105,8.17,8.51,8.14,8.4,8.2,0.200000000000001,2.439,147977.19,123123.036,8.11999999999997,8.083333333333345,8.04199999999997,8.047000000000011,9.130952380952381,9.642857142857142,11.273809523809524,12.035714285714285,True
1393,300022.SZ,20141106,8.4,8.4,8.2,8.32,8.4,-0.08,-0.9524,94323.92,78380.5384,8.17799999999997,8.111666666666677,8.11999999999997,8.083333333333345,9.266826923076923,9.711538461538462,11.875,13.365384615384615,False
1392,300022.SZ,20141107,8.33,8.56,8.15,8.19,8.32,-0.1300000000000007,-1.5625,168940.98,142162.3151,8.23599999999997,8.131666666666678,8.17799999999997,8.111666666666677,9.377289377289378,10.32967032967033,11.452991452991455,13.41880341880342,False
1391,300022.SZ,20141110,8.21,8.34,8.17,8.23,8.19,0.0400000000000009,0.4884,58105.12,47843.1054,8.267999999999969,8.162333333333343,8.23599999999997,8.131666666666678,9.380315917375455,10.473876063183473,11.506682867557716,13.657351154313487,False
1390,300022.SZ,20141111,8.23,8.23,7.62,7.64,8.23,-0.5900000000000007,-7.1689,119999.08,94468.9943,8.155999999999969,8.16200000000001,8.267999999999969,8.162333333333343,10.327225130890053,11.93717277486911,11.230366492146597,13.56020942408377,False
1389,300022.SZ,20141112,7.66,7.79,7.43,7.67,7.64,0.0300000000000002,0.3927,96783.46,73612.0546,8.00999999999997,8.158333333333342,8.155999999999969,8.16200000000001,10.560625814863103,11.629726205997393,11.694915254237287,13.05084745762712,False
1388,300022.SZ,20141113,7.62,7.88,7.42,7.71,7.67,0.04,0.5215,162802.41,124505.8151,7.88799999999997,8.14700000000001,8.00999999999997,8.158333333333342,10.479896238651103,11.841763942931259,12.801556420233462,13.17769130998703,False
1387,300022.SZ,20141114,7.59,7.75,7.46,7.68,7.71,-0.0300000000000002,-0.3891,68578.38,52115.0276,7.78599999999997,8.130333333333343,7.88799999999997,8.14700000000001,11.015625000000002,11.354166666666668,13.4375,13.098958333333336,False
1386,300022.SZ,20141117,7.68,7.88,7.53,7.72,7.68,0.04,0.5208,80179.92,62280.523,7.683999999999971,8.087666666666676,7.78599999999997,8.130333333333343,11.16580310880829,11.088082901554406,13.432642487046632,12.189119170984457,False
1385,300022.SZ,20141118,7.72,7.98,7.67,7.89,7.72,0.1699999999999999,2.2021,130618.43,102513.9426,7.733999999999971,8.060666666666675,7.683999999999971,8.087666666666676,11.55893536121673,10.91254752851711,13.003802281368822,12.167300380228136,False
1384,300022.SZ,20141119,7.89,8.19,7.84,8.1,7.89,0.2099999999999999,2.6616,144943.81,116996.5918,7.81999999999997,8.036333333333342,7.733999999999971,8.060666666666675,11.012345679012345,11.691358024691358,12.481481481481483,11.54320987654321,False
1383,300022.SZ,20141120,8.3,8.3,7.95,8.08,8.1,-0.0199999999999995,-0.2469,124959.18,101338.5504,7.89399999999997,8.021333333333342,7.81999999999997,8.036333333333342,11.299504950495049,12.227722772277227,13.762376237623762,11.324257425742575,False
1382,300022.SZ,20141121,8.23,8.68,8.08,8.46,8.08,0.3800000000000008,4.703,250923.22,212552.0216,8.04999999999997,8.018666666666677,7.89399999999997,8.021333333333342,10.307328605200945,11.087470449172576,12.990543735224584,11.347517730496453,True
1381,300022.SZ,20141124,8.36,8.68,8.3,8.62,8.46,0.1599999999999983,1.8913,224025.62,191131.6058,8.22999999999997,8.023333333333344,8.04999999999997,8.018666666666677,9.930394431554525,10.986078886310906,13.039443155452437,11.392111368909514,False
1380,300022.SZ,20141125,8.57,9.3,8.57,9.12,8.62,0.5,5.8005,311609.37,281045.7713,8.475999999999969,8.04500000000001,8.22999999999997,8.023333333333344,9.44078947368421,9.407894736842106,11.359649122807019,10.42763157894737,False
1379,300022.SZ,20141126,9.12,9.18,8.83,8.92,9.12,-0.1999999999999993,-2.193,174023.0,156394.2759,8.639999999999969,8.067666666666677,8.475999999999969,8.04500000000001,10.616591928251122,10.056053811659194,11.221973094170403,10.538116591928253,False
1378,300022.SZ,20141127,8.98,9.63,8.92,9.13,8.92,0.2100000000000008,2.3543,206269.37,190783.9828,8.84999999999997,8.099333333333343,8.639999999999969,8.067666666666677,10.82146768893757,10.810514786418398,11.12814895947426,10.569550930996714,False
1377,300022.SZ,20141128,9.1,9.1,8.6,8.72,9.13,-0.4100000000000001,-4.4907,215326.3,189109.066,8.901999999999969,8.12600000000001,8.84999999999997,8.099333333333343,10.756880733944953,11.8348623853211,11.536697247706423,11.662844036697246,False
1376,300022.SZ,20141201,8.76,8.91,8.52,8.56,8.72,-0.1600000000000001,-1.8349,143123.67,124143.7979,8.88999999999997,8.142666666666676,8.901999999999969,8.12600000000001,11.063084112149532,12.114485981308409,10.992990654205608,11.507009345794392,False
1375,300022.SZ,20141202,8.51,8.75,8.48,8.61,8.56,0.0499999999999989,0.5841,131940.85,113728.7907,8.787999999999972,8.16900000000001,8.88999999999997,8.142666666666676,9.965156794425088,11.916376306620208,11.149825783972124,11.335656213704993,False
1374,300022.SZ,20141203,8.75,9.47,8.6,9.47,8.61,0.8600000000000012,9.9884,280327.96,253096.9846,8.897999999999971,8.223666666666675,8.787999999999972,8.16900000000001,9.472016895459346,10.675818373812035,9.873284054910242,10.549102428722282,False
1373,300022.SZ,20141204,9.89,10.2,9.51,9.88,9.47,0.4100000000000001,4.3295,353134.2,347970.4568,9.04799999999997,8.300333333333342,8.897999999999971,8.223666666666675,9.98987854251012,11.255060728744937,9.261133603238866,9.504048582995951,False
1372,300022.SZ,20141205,9.74,9.84,8.89,9.38,9.88,-0.5,-5.0607,299227.1,280204.9241,9.179999999999971,8.352000000000007,9.04799999999997,8.300333333333342,11.002132196162046,11.71641791044776,10.234541577825158,10.298507462686565,False
1371,300022.SZ,20141208,9.31,9.81,9.09,9.47,9.38,0.0899999999999998,0.9595,289931.01,275488.1335,9.36199999999997,8.406666666666673,9.179999999999971,8.352000000000007,10.950369588173176,11.869060190073917,10.369588173178458,10.390707497360083,False
1370,300022.SZ,20141209,9.37,9.7,8.52,8.58,9.47,-0.8900000000000006,-9.3981,324604.07,297104.8855,9.35599999999997,8.42533333333334,9.36199999999997,8.406666666666673,11.958041958041958,12.074592074592074,11.083916083916083,11.946386946386946,False
1369,300022.SZ,20141210,8.57,9.13,8.55,8.97,8.58,0.3900000000000005,4.5455,202037.64,180098.2815,9.25599999999997,8.457333333333342,9.35599999999997,8.42533333333334,11.270903010033443,11.15942028985507,10.479375696767,11.471571906354514,False
