,ts_code,symbol,name,area,industry,market,list_date
511,002058.SZ,002058,*ST威尔,上海,电器仪表,中小板,20060802
512,002059.SZ,002059,云南旅游,云南,旅游景点,中小板,20060810
513,002060.SZ,002060,粤水电,广东,建筑工程,中小板,20060810
514,002061.SZ,002061,浙江交科,浙江,建筑工程,中小板,20060816
515,002062.SZ,002062,宏润建设,浙江,建筑工程,中小板,20060816
516,002063.SZ,002063,远光软件,广东,软件服务,中小板,20060823
517,002064.SZ,002064,华峰化学,浙江,化纤,中小板,20060823
518,002065.SZ,002065,东华软件,北京,软件服务,中小板,20060823
519,002066.SZ,002066,瑞泰科技,北京,其他建材,中小板,20060823
520,002067.SZ,002067,景兴纸业,浙江,造纸,中小板,20060915
521,002068.SZ,002068,黑猫股份,江西,化工原料,中小板,20060915
522,002069.SZ,002069,獐子岛,辽宁,渔业,中小板,20060928
523,002071.SZ,002071,长城退,,,中小板,20061012
524,002072.SZ,002072,*ST凯瑞,山东,商贸代理,中小板,20061018
525,002073.SZ,002073,软控股份,山东,软件服务,中小板,20061018
526,002074.SZ,002074,国轩高科,安徽,电气设备,中小板,20061018
527,002075.SZ,002075,沙钢股份,江苏,特种钢,中小板,20061025
528,002076.SZ,002076,*ST雪莱,广东,家用电器,中小板,20061025
529,002077.SZ,002077,*ST大港,江苏,区域地产,中小板,20061116
530,002078.SZ,002078,太阳纸业,山东,造纸,中小板,20061116
531,002079.SZ,002079,苏州固锝,江苏,半导体,中小板,20061116
532,002080.SZ,002080,中材科技,江苏,化纤,中小板,20061120
533,002081.SZ,002081,金螳螂,江苏,装修装饰,中小板,20061120
534,002082.SZ,002082,万邦德,浙江,中成药,中小板,20061120
535,002083.SZ,002083,孚日股份,山东,纺织,中小板,20061124
536,002084.SZ,002084,海鸥住工,广东,家居用品,中小板,20061124
537,002085.SZ,002085,万丰奥威,浙江,汽车配件,中小板,20061128
538,002086.SZ,002086,*ST东洋,山东,渔业,中小板,20061128
539,002087.SZ,002087,新野纺织,河南,纺织,中小板,20061130
540,002088.SZ,002088,鲁阳节能,山东,矿物制品,中小板,20061130
541,002089.SZ,002089,ST新海,江苏,通信设备,中小板,20061130
542,002090.SZ,002090,金智科技,江苏,软件服务,中小板,20061208
543,002091.SZ,002091,江苏国泰,江苏,商贸代理,中小板,20061208
544,002092.SZ,002092,中泰化学,新疆,化工原料,中小板,20061208
545,002093.SZ,002093,国脉科技,福建,电信运营,中小板,20061215
546,002094.SZ,002094,青岛金王,山东,日用化工,中小板,20061215
547,002095.SZ,002095,生意宝,浙江,互联网,中小板,20061215
548,002096.SZ,002096,南岭民爆,湖南,化工原料,中小板,20061222
549,002097.SZ,002097,山河智能,湖南,工程机械,中小板,20061222
550,002098.SZ,002098,浔兴股份,福建,服饰,中小板,20061222
551,002099.SZ,002099,海翔药业,浙江,化学制药,中小板,20061226
552,002100.SZ,002100,天康生物,新疆,饲料,中小板,20061226
553,002101.SZ,002101,广东鸿图,广东,汽车配件,中小板,20061229
554,002102.SZ,002102,ST冠福,福建,化学制药,中小板,20061229
555,002103.SZ,002103,广博股份,浙江,文教休闲,中小板,20070110
556,002104.SZ,002104,恒宝股份,江苏,元器件,中小板,20070110
557,002105.SZ,002105,信隆健康,深圳,文教休闲,中小板,20070112
558,002106.SZ,002106,莱宝高科,深圳,元器件,中小板,20070112
559,002107.SZ,002107,沃华医药,山东,中成药,中小板,20070124
560,002108.SZ,002108,沧州明珠,河北,塑料,中小板,20070124
561,002109.SZ,002109,兴化股份,陕西,化工原料,中小板,20070126
562,002110.SZ,002110,三钢闽光,福建,普钢,中小板,20070126
563,002111.SZ,002111,威海广泰,山东,航空,中小板,20070126
564,002112.SZ,002112,三变科技,浙江,电气设备,中小板,20070208
565,002113.SZ,002113,*ST天润,湖南,互联网,中小板,20070208
566,002114.SZ,002114,罗平锌电,云南,铅锌,中小板,20070215
567,002115.SZ,002115,三维通信,浙江,互联网,中小板,20070215
568,002116.SZ,002116,中国海诚,上海,建筑工程,中小板,20070215
569,002117.SZ,002117,东港股份,山东,广告包装,中小板,20070302
570,002118.SZ,002118,紫鑫药业,吉林,中成药,中小板,20070302
571,002119.SZ,002119,康强电子,浙江,半导体,中小板,20070302
572,002120.SZ,002120,韵达股份,浙江,仓储物流,中小板,20070306
573,002121.SZ,002121,*ST科陆,深圳,电器仪表,中小板,20070306
574,002122.SZ,002122,*ST天马,浙江,机械基件,中小板,20070328
575,002123.SZ,002123,梦网科技,辽宁,互联网,中小板,20070328
576,002124.SZ,002124,天邦股份,浙江,饲料,中小板,20070403
577,002125.SZ,002125,湘潭电化,湖南,化工原料,中小板,20070403
578,002126.SZ,002126,银轮股份,浙江,汽车配件,中小板,20070418
579,002127.SZ,002127,南极电商,江苏,互联网,中小板,20070418
580,002128.SZ,002128,露天煤业,内蒙,煤炭开采,中小板,20070418
581,002129.SZ,002129,中环股份,天津,半导体,中小板,20070420
582,002130.SZ,002130,沃尔核材,深圳,电气设备,中小板,20070420
583,002131.SZ,002131,利欧股份,浙江,互联网,中小板,20070427
584,002132.SZ,002132,恒星科技,河南,钢加工,中小板,20070427
585,002133.SZ,002133,广宇集团,浙江,全国地产,中小板,20070427
586,002134.SZ,002134,天津普林,天津,元器件,中小板,20070516
587,002135.SZ,002135,东南网架,浙江,建筑工程,中小板,20070530
588,002136.SZ,002136,安纳达,安徽,化工原料,中小板,20070530
589,002137.SZ,002137,实益达,深圳,通信设备,中小板,20070613
590,002138.SZ,002138,顺络电子,深圳,元器件,中小板,20070613
591,002139.SZ,002139,拓邦股份,深圳,元器件,中小板,20070629
592,002140.SZ,002140,东华科技,安徽,建筑工程,中小板,20070712
593,002141.SZ,002141,贤丰控股,广东,元器件,中小板,20070720
594,002142.SZ,002142,宁波银行,浙江,银行,中小板,20070719
595,002144.SZ,002144,宏达高科,浙江,纺织,中小板,20070803
596,002145.SZ,002145,中核钛白,甘肃,化工原料,中小板,20070803
597,002146.SZ,002146,荣盛发展,河北,全国地产,中小板,20070808
598,002147.SZ,002147,*ST新光,安徽,区域地产,中小板,20070808
599,002148.SZ,002148,北纬科技,北京,互联网,中小板,20070810
600,002149.SZ,002149,西部材料,陕西,小金属,中小板,20070810
601,002150.SZ,002150,通润装备,江苏,机械基件,中小板,20070810
602,002151.SZ,002151,北斗星通,北京,通信设备,中小板,20070813
603,002152.SZ,002152,广电运通,广东,IT设备,中小板,20070813
604,002153.SZ,002153,石基信息,北京,软件服务,中小板,20070813
605,002154.SZ,002154,报喜鸟,浙江,服饰,中小板,20070816
606,002155.SZ,002155,湖南黄金,湖南,黄金,中小板,20070816
607,002156.SZ,002156,通富微电,江苏,半导体,中小板,20070816
608,002157.SZ,002157,正邦科技,江西,饲料,中小板,20070817
609,002158.SZ,002158,汉钟精机,上海,工程机械,中小板,20070817
610,002159.SZ,002159,三特索道,湖北,旅游服务,中小板,20070817
611,002160.SZ,002160,常铝股份,江苏,铝,中小板,20070821
612,002161.SZ,002161,远望谷,深圳,通信设备,中小板,20070821
613,002162.SZ,002162,悦心健康,上海,医疗保健,中小板,20070823
614,002163.SZ,002163,海南发展,深圳,装修装饰,中小板,20070823
615,002164.SZ,002164,宁波东力,浙江,电气设备,中小板,20070823
616,002165.SZ,002165,红宝丽,江苏,化工原料,中小板,20070913
617,002166.SZ,002166,莱茵生物,广西,中成药,中小板,20070913
618,002167.SZ,002167,东方锆业,广东,小金属,中小板,20070913
619,002168.SZ,002168,惠程科技,深圳,互联网,中小板,20070919
620,002169.SZ,002169,智光电气,广东,电气设备,中小板,20070919
621,002170.SZ,002170,芭田股份,深圳,农药化肥,中小板,20070919
622,002171.SZ,002171,楚江新材,安徽,铜,中小板,20070921
623,002172.SZ,002172,澳洋健康,江苏,化纤,中小板,20070921
624,002173.SZ,002173,创新医疗,浙江,医疗保健,中小板,20070925
625,002174.SZ,002174,游族网络,福建,互联网,中小板,20070925
626,002175.SZ,002175,ST东网,广西,电器仪表,中小板,20071012
627,002176.SZ,002176,江特电机,江西,电气设备,中小板,20071012
628,002177.SZ,002177,御银股份,广东,IT设备,中小板,20071101
629,002178.SZ,002178,延华智能,上海,建筑工程,中小板,20071101
630,002179.SZ,002179,中航光电,河南,元器件,中小板,20071101
631,002180.SZ,002180,纳思达,广东,IT设备,中小板,20071113
632,002181.SZ,002181,粤传媒,广东,出版业,中小板,20071116
633,002182.SZ,002182,云海金属,江苏,小金属,中小板,20071113
634,002183.SZ,002183,怡亚通,深圳,仓储物流,中小板,20071113
635,002184.SZ,002184,海得控制,上海,软件服务,中小板,20071116
636,002185.SZ,002185,华天科技,甘肃,半导体,中小板,20071120
637,002186.SZ,002186,全聚德,北京,酒店餐饮,中小板,20071120
638,002187.SZ,002187,广百股份,广东,百货,中小板,20071122
639,002188.SZ,002188,*ST巴士,浙江,广告包装,中小板,20071122
640,002189.SZ,002189,中光学,河南,元器件,中小板,20071203
641,002190.SZ,002190,成飞集成,四川,汽车配件,中小板,20071203
642,002191.SZ,002191,劲嘉股份,深圳,广告包装,中小板,20071205
643,002192.SZ,002192,融捷股份,广东,小金属,中小板,20071205
644,002193.SZ,002193,如意集团,山东,纺织,中小板,20071207
