,基金代码,基金简称,类型,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,增长值,增长率,市价,折价率
482,159803,易方达中证浙江新动能ETF(QDII)行情,QDII,---,---,1.3783,1.3783,---,---,1.3380,---
483,513080,华安法国CAC40ETF(QDII)行情,QDII,---,---,1.2890,1.2890,---,---,1.2780,---
484,517120,华泰柏瑞中证创新药产业ETF行情,指数型-股票,---,---,---,---,---,---,---,---
485,516890,平安中证新材料主题ETF行情,指数型-股票,---,---,---,---,---,---,---,---
486,159822,银华工银南方东英标普中国新经济ETF(QDII)行情,QDII,---,---,0.9882,0.9882,---,---,0.9800,---
487,513300,华夏纳斯达克100ETF(QDII)行情,QDII,---,---,1.2190,1.2190,---,---,1.2180,---
488,513360,博时全球中国教育(QDII-ETF)行情,QDII,---,---,0.8378,0.8378,---,---,0.8410,---
489,159720,泰康中证智能电动汽车ETF行情,指数型-股票,---,---,---,---,---,---,---,---
490,159729,汇添富中证沪港深互联网ETF行情,指数型-股票,---,---,---,---,---,---,---,---
491,562880,嘉实中证电池主题ETF行情,指数型-股票,---,---,1.0000,1.0000,---,---,---,---
492,513700,鹏华中证港股通医药卫生综合交易ETF行情,指数型-股票,---,---,1.0000,1.0000,---,---,---,---
493,516100,华夏中证金融科技主题ETF行情,指数型-股票,---,---,1.0000,1.0000,---,---,---,---
494,159830,天弘上海金ETF行情,商品（不含QDII）,---,---,---,---,---,---,---,---
