,基金代码,拼音缩写,基金简称,基金类型,拼音全称
1271,001678,YDGQGGZTGP,英大国企改革主题股票,股票型,YINGDAGUOQIGAIGEZHUTIGUPIAO
1272,001679,QHKYZGXQZCHHA,前海开源中国稀缺资产混合A,混合型-灵活,QIANHAIKAIYUANZHONGGUOXIQUEZICHANHUNHEA
1273,001681,XHJJJZLHPZHH,新华积极价值灵活配置混合,混合型-灵活,XINHUAJIJIJIAZHILINGHUOPEIZHIHUNHE
1274,001682,XHXHBHH,新华鑫回报混合,混合型-灵活,XINHUAXINHUIBAOHUNHE
1275,001685,HTFHGSXJZGP,汇添富沪港深新价值股票,股票型,HUITIANFUHUGANGSHENXINJIAZHIGUPIAO
1276,001686,AXXDLHHA,安信新动力混合A,混合型-灵活,ANXINXINDONGLIHUNHEA
1277,001687,AXXDLHHC,安信新动力混合C,混合型-灵活,ANXINXINDONGLIHUNHEC
1278,001688,JSXQDHHA,嘉实新起点混合A,混合型-灵活,JIASHIXINQIDIANHUNHEA
1279,001691,NFXGCZQDII,南方香港成长(QDII),QDII,NANFANGXIANGGANGCHENGZHANGQDII
1280,001692,NFGCDL,南方国策动力,股票型,NANFANGGUOCEDONGLI
1281,001693,ZSZL1GYQLCZQC,招商招利1个月期理财债券C,债券型-中短债,ZHAOSHANGZHAOLI1GEYUEQILICAIZHAIQUANC
1282,001694,HAHGSWYZZHH,华安沪港深外延增长混合,混合型-灵活,HUAANHUGANGSHENWAIYANZENGZHANGHUNHE
1283,001695,HDHYHH,泓德泓业混合,混合型-灵活,HONGDEHONGYEHUNHE
1284,001696,NFZZGP,南方智造股票,股票型,NANFANGZHIZAOGUPIAO
1285,001697,DCHFBHBA,大成恒丰宝货币A,货币型,DACHENGHENGFENGBAOHUOBIA
1286,001698,DCHFBHBB,大成恒丰宝货币B,货币型,DACHENGHENGFENGBAOHUOBIB
1287,001699,DCHFBHBE,大成恒丰宝货币E,货币型,DACHENGHENGFENGBAOHUOBIE
1288,001701,ZRCYSJHH,中融产业升级混合,混合型-灵活,ZHONGRONGCHANYESHENGJIHUNHE
1289,001702,DFCXKJHH,东方创新科技混合,混合型-偏股,DONGFANGCHUANGXINKEJIHUNHE
1290,001703,YHHGSZZGP,银华沪港深增长股票,股票型,YINHUAHUGANGSHENZENGZHANGGUPIAO
1291,001704,GTRYJBLHPZHH,国投瑞银进宝灵活配置混合,混合型-灵活,GUOTOURUIYINJINBAOLINGHUOPEIZHIHUNHE
1292,001705,HDZLZXGP,泓德战略转型股票,股票型,HONGDEZHANLUEZHUANXINGGUPIAO
