,基金代码,拼音缩写,基金简称,基金类型,拼音全称
7901,009701,CJTLHHC,长江添利混合C,混合型-偏债,CHANGJIANGTIANLIHUNHEC
7902,009702,PHZZ13NNFHZQZSA,鹏华中债1-3年农发行债券指数A,债券型-长债,PENGHUAZHONGZHAI13NIANNONGFAHANGZHAIQUANZHISHUA
7903,009703,PHZZ13NNFHZQZSC,鹏华中债1-3年农发行债券指数C,债券型-长债,PENGHUAZHONGZHAI13NIANNONGFAHANGZHAIQUANZHISHUC
7904,009704,NFJQQDHHA,南方景气驱动混合A,混合型-偏股,NANFANGJINGQIQUDONGHUNHEA
7905,009705,NFJQQDHHC,南方景气驱动混合C,混合型-偏股,NANFANGJINGQIQUDONGHUNHEC
7906,009706,MSJYCZHHHC,民生加银城镇化混合C,混合型-灵活,MINSHENGJIAYINCHENGZHENHUAHUNHEC
7907,009707,GYXXZZHHA,工银新兴制造混合A,混合型-偏股,GONGYINXINXINGZHIZAOHUNHEA
7908,009708,GYXXZZHHC,工银新兴制造混合C,混合型-偏股,GONGYINXINXINGZHIZAOHUNHEC
7909,009709,MSJYCLJXHHC,民生加银策略精选混合C,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEC
7910,009710,NDXSLHPZHHC,诺德新盛灵活配置混合C,混合型-灵活,NUODEXINSHENGLINGHUOPEIZHIHUNHEC
7911,009711,ZSTS78GYDKZ,招商添盛78个月定开债,债券型-长债,ZHAOSHANGTIANSHENG78GEYUEDINGKAIZHAI
7912,009712,XDAYHGJHBB,信达澳银慧管家货币B,货币型,XINDAAOYINHUIGUANJIAHUOBIB
7913,009713,XDAYHGJHBD,信达澳银慧管家货币D,货币型,XINDAAOYINHUIGUANJIAHUOBID
7914,009714,HAJYJXHH,华安聚优精选混合,混合型-偏股,HUAANJUYOUJINGXUANHUNHE
7915,009715,HTFCLZZLNFBHH,汇添富策略增长两年封闭混合,混合型-灵活,HUITIANFUCELUEZENGZHANGLIANGNIANFENGBIHUNHE
7916,009716,BSHSCYQHHA,博时恒盛持有期混合A,混合型-偏债,BOSHIHENGSHENGCHIYOUQIHUNHEA
7917,009717,BSHSCYQHHC,博时恒盛持有期混合C,混合型-偏债,BOSHIHENGSHENGCHIYOUQIHUNHEC
7918,009718,ZSZHYNDQKFHHA,招商增浩一年定期开放混合A,混合型-偏债,ZHAOSHANGZENGHAOYINIANDINGQIKAIFANGHUNHEA
7919,009719,ZSZHYNDQKFHHC,招商增浩一年定期开放混合C,混合型-偏债,ZHAOSHANGZENGHAOYINIANDINGQIKAIFANGHUNHEC
7920,009720,MSJYJQHYHHC,民生加银景气行业混合C,混合型-偏股,MINSHENGJIAYINJINGQIHANGYEHUNHEC
7921,009721,PAZZ15NZCXJRZA,平安中债1-5年政策性金融债A,债券型-长债,PINGANZHONGZHAI15NIANZHENGCEXINGJINRONGZHAIA
7922,009722,PAZZ15NZCXJRZC,平安中债1-5年政策性金融债C,债券型-长债,PINGANZHONGZHAI15NIANZHENGCEXINGJINRONGZHAIC
7923,009725,DFHYZZXYNCYHH,东方红优质甄选一年持有混合,混合型-偏债,DONGFANGHONGYOUZHIZHENXUANYINIANCHIYOUHUNHE
7924,009726,ZSZZ500DQZZSZQA,招商中证500等权重指数增强A,指数型-股票,ZHAOSHANGZHONGZHENG500DENGQUANZHONGZHISHUZENGQIANGA
7925,009727,ZSZZ500DQZZSZQC,招商中证500等权重指数增强C,指数型-股票,ZHAOSHANGZHONGZHENG500DENGQUANZHONGZHISHUZENGQIANGC
7926,009728,ZYZQATZQA,中银证券安泰债券A,债券型-混合债,ZHONGYINZHENGQUANANTAIZHAIQUANA
7927,009729,ZYZQATZQC,中银证券安泰债券C,债券型-混合债,ZHONGYINZHENGQUANANTAIZHAIQUANC
7928,009730,ZXBCAXHBZQA,中信保诚安鑫回报债券A,债券型-混合债,ZHONGXINBAOCHENGANXINHUIBAOZHAIQUANA
7929,009731,ZXBCAXHBZQC,中信保诚安鑫回报债券C,债券型-混合债,ZHONGXINBAOCHENGANXINHUIBAOZHAIQUANC
7930,009732,XYWT66GYDKZQ,兴业稳泰66个月定开债券,债券型-长债,XINGYEWENTAI66GEYUEDINGKAIZHAIQUAN
7931,009733,CJHXGGTDXFJXGPA,创金合信港股通大消费精选股票A,股票型,CHUANGJINHEXINGANGGUTONGDAXIAOFEIJINGXUANGUPIAOA
7932,009734,CJHXGGTDXFJXGPC,创金合信港股通大消费精选股票C,股票型,CHUANGJINHEXINGANGGUTONGDAXIAOFEIJINGXUANGUPIAOC
7933,009735,THZQHBZQE,天弘增强回报债券E,债券型-混合债,TIANHONGZENGQIANGHUIBAOZHAIQUANE
7934,009736,HTFWJSYHHA,汇添富稳健收益混合A,混合型-偏债,HUITIANFUWENJIANSHOUYIHUNHEA
7935,009737,HTFWJSYHHC,汇添富稳健收益混合C,混合型-偏债,HUITIANFUWENJIANSHOUYIHUNHEC
7936,009738,GLHA63GYDKZ,格林泓安63个月定开债,债券型-长债,GELINHONGAN63GEYUEDINGKAIZHAI
7937,009740,BSYJZXCYQHHA,博时研究臻选持有期混合A,混合型-灵活,BOSHIYANJIUZHENXUANCHIYOUQIHUNHEA
7938,009741,BSYJZXCYQHHC,博时研究臻选持有期混合C,混合型-灵活,BOSHIYANJIUZHENXUANCHIYOUQIHUNHEC
7939,009742,PHZZ03NAAYXXYZA,鹏华中债-0-3年AA+优选信用债A,债券型-长债,PENGHUAZHONGZHAI03NIANAAYOUXUANXINYONGZHAIA
7940,009743,PHZZ03NAAYXXYZC,鹏华中债-0-3年AA+优选信用债C,债券型-长债,PENGHUAZHONGZHAI03NIANAAYOUXUANXINYONGZHAIC
7941,009744,YDXJBHBB,英大现金宝货币B,货币型,YINGDAXIANJINBAOHUOBIB
7942,009745,PHZZ13YHPJAAAZSA,鹏华中债1-3隐含评级AAA指数A,债券型-长债,PENGHUAZHONGZHAI13YINHANPINGJIAAAZHISHUA
7943,009746,PHZZ13YHPJAAAZSC,鹏华中债1-3隐含评级AAA指数C,债券型-长债,PENGHUAZHONGZHAI13YINHANPINGJIAAAZHISHUC
7944,009747,ZKWTWXCZJXHHC,中科沃土沃鑫成长精选混合C,混合型-灵活,ZHONGKEWOTUWOXINCHENGZHANGJINGXUANHUNHEC
7945,009748,HFJXHACZ63GYDKZ,汇丰晋信惠安纯债63个月定开债,债券型-长债,HUIFENGJINXINHUIANCHUNZHAI63GEYUEDINGKAIZHAI
7946,009749,XBLDZT86GYDKZ,西部利得尊泰86个月定开债,债券型-长债,XIBULIDEZUNTAI86GEYUEDINGKAIZHAI
7947,009750,HAJZLCHHA,汇安价值蓝筹混合A,混合型-偏股,HUIANJIAZHILANCHOUHUNHEA
7948,009751,HAJZLCHHC,汇安价值蓝筹混合C,混合型-偏股,HUIANJIAZHILANCHOUHUNHEC
7949,009752,DMLDYXZQ,大摩灵动优选债券,债券型-混合债,DAMOLINGDONGYOUXUANZHAIQUAN
7950,009753,ZOMYWJLNHHA,中欧美益稳健两年混合A,混合型-偏债,ZHONGOUMEIYIWENJIANLIANGNIANHUNHEA
7951,009754,ZOMYWJLNHHC,中欧美益稳健两年混合C,混合型-偏债,ZHONGOUMEIYIWENJIANLIANGNIANHUNHEC
7952,009755,JSCCAXHBHHC,景顺长城安鑫回报混合C,混合型-偏债,JINGSHUNCHANGCHENGANXINHUIBAOHUNHEC
7953,009756,HBBLDKZQ,华宝宝利定开债券,债券型-长债,HUABAOBAOLIDINGKAIZHAIQUAN
7954,009757,HBZZ13NGKHZQZS,华宝中债1-3年国开行债券指数,债券型-长债,HUABAOZHONGZHAI13NIANGUOKAIHANGZHAIQUANZHISHU
7955,009758,FGKZZC,富国可转债C,债券型-可转债,FUGUOKEZHUANZHAIC
7956,009759,PYCA66GYDKZA,鹏扬淳安66个月定开债A,债券型-长债,PENGYANGCHUNAN66GEYUEDINGKAIZHAIA
7957,009760,PYCA66GYDKZC,鹏扬淳安66个月定开债C,债券型-长债,PENGYANGCHUNAN66GEYUEDINGKAIZHAIC
7958,009761,GDZH87GYDKZ,光大尊合87个月定开债,债券型-长债,GUANGDAZUNHE87GEYUEDINGKAIZHAI
7959,009762,GJGXFQC,国金国鑫发起C,混合型-灵活,GUOJINGUOXINFAQIC
7960,009763,HSHYZQA,惠升和悦债券A,债券型-混合债,HUISHENGHEYUEZHAIQUANA
7961,009764,HSHYZQC,惠升和悦债券C,债券型-混合债,HUISHENGHEYUEZHAIQUANC
7962,009765,HSHX88GYDKZ,惠升和煦88个月定开债,债券型-长债,HUISHENGHEXU88GEYUEDINGKAIZHAI
7963,009766,AXPWSL3GYCYHHA,安信平稳双利3个月持有混合A,混合型-偏债,ANXINPINGWENSHUANGLI3GEYUECHIYOUHUNHEA
7964,009767,AXPWSL3GYCYHHC,安信平稳双利3个月持有混合C,混合型-偏债,ANXINPINGWENSHUANGLI3GEYUECHIYOUHUNHEC
7965,009768,CJHXHYYNDKHHA,创金合信汇悦一年定开混合A,混合型-偏股,CHUANGJINHEXINHUIYUEYINIANDINGKAIHUNHEA
7966,009769,CJHXHYYNDKHHC,创金合信汇悦一年定开混合C,混合型-偏股,CHUANGJINHEXINHUIYUEYINIANDINGKAIHUNHEC
7967,009770,YDAX66GYDQKFZQ,英大安鑫66个月定期开放债券,债券型-长债,YINGDAANXIN66GEYUEDINGQIKAIFANGZHAIQUAN
7968,009771,HAJHCZZQC,汇安嘉汇纯债债券C,债券型-长债,HUIANJIAHUICHUNZHAIZHAIQUANC
7969,009772,JSPBGKZ15NZSA,嘉实彭博国开债1-5年指数A,债券型-长债,JIASHIPENGBOGUOKAIZHAI15NIANZHISHUA
7970,009773,JSPBGKZ15NZSC,嘉实彭博国开债1-5年指数C,债券型-长债,JIASHIPENGBOGUOKAIZHAI15NIANZHISHUC
7971,009774,CTZGYXHBYNCYQHH,财通资管优选回报一年持有期混合,混合型-偏股,CAITONGZIGUANYOUXUANHUIBAOYINIANCHIYOUQIHUNHE
7972,009775,HFJXZXPDBDCLGPC,汇丰晋信中小盘低波动策略股票C,股票型,HUIFENGJINXINZHONGXIAOPANDIBODONGCELUEGUPIAOC
7973,009776,ZOAEFHHA,中欧阿尔法混合A,混合型-偏股,ZHONGOUAERFAHUNHEA
7974,009777,ZOAEFHHC,中欧阿尔法混合C,混合型-偏股,ZHONGOUAERFAHUNHEC
7975,009778,CXXFSJHHA,长信消费升级混合A,混合型-偏股,CHANGXINXIAOFEISHENGJIHUNHEA
7976,009779,CXXFSJHHC,长信消费升级混合C,混合型-偏股,CHANGXINXIAOFEISHENGJIHUNHEC
7977,009780,DBRZ86GYDKZ,德邦锐泽86个月定开债,债券型-长债,DEBANGRUIZE86GEYUEDINGKAIZHAI
7978,009781,NFCYYSLNHHC,南方产业优势两年混合C,混合型-偏股,NANFANGCHANYEYOUSHILIANGNIANHUNHEC
7979,009782,FGXQHB12GYCYQHHA,富国兴泉回报12个月持有期混合A,混合型-偏股,FUGUOXINGQUANHUIBAO12GEYUECHIYOUQIHUNHEA
7980,009783,FGXQHB12GYCYQHHC,富国兴泉回报12个月持有期混合C,混合型-偏股,FUGUOXINGQUANHUIBAO12GEYUECHIYOUQIHUNHEC
7981,009784,AXZXTLLLZA,安信尊享添利利率债A,债券型-长债,ANXINZUNXIANGTIANLILILVZHAIA
7982,009785,AXZXTLLLZC,安信尊享添利利率债C,债券型-长债,ANXINZUNXIANGTIANLILILVZHAIC
7983,009786,HAJY07NJRZDKZ,华安锦源0-7年金融债定开债,债券型-长债,HUAANJINYUAN07NIANJINRONGZHAIDINGKAIZHAI
7984,009787,PHJHDZC3GYCYQHHFOF,鹏华聚合多资产3个月持有期混合(FOF),混合型-偏债,PENGHUAJUHEDUOZICHAN3GEYUECHIYOUQIHUNHEFOF
7985,009788,QHKYHZLNDKZQ,前海开源惠泽两年定开债券,债券型-长债,QIANHAIKAIYUANHUIZELIANGNIANDINGKAIZHAIQUAN
7986,009789,FADKJCXHH,富安达科技创新混合,混合型-偏股,FUANDAKEJICHUANGXINHUNHE
7987,009790,GSABZJBHBB,国寿安保增金宝货币B,货币型,GUOSHOUANBAOZENGJINBAOHUOBIB
7988,009791,ZOCYBLNDKHHC,中欧创业板两年定开混合C,混合型-偏股,ZHONGOUCHUANGYEBANLIANGNIANDINGKAIHUNHEC
7989,009792,GYRYZQA,工银瑞益债券A,债券型-长债,GONGYINRUIYIZHAIQUANA
7990,009793,GYRYZQC,工银瑞益债券C,债券型-长债,GONGYINRUIYIZHAIQUANC
7991,009794,TPZXYNDKGP,太平智选一年定开股票,股票型,TAIPINGZHIXUANYINIANDINGKAIGUPIAO
7992,009795,JSYJJXLNCYQHH,嘉实远见精选两年持有期混合,混合型-偏股,JIASHIYUANJIANJINGXUANLIANGNIANCHIYOUQIHUNHE
7993,009796,DCHXYNCYHHA,大成汇享一年持有混合A,混合型-偏债,DACHENGHUIXIANGYINIANCHIYOUHUNHEA
7994,009797,DCHXYNCYHHC,大成汇享一年持有混合C,混合型-偏债,DACHENGHUIXIANGYINIANCHIYOUHUNHEC
7995,009798,DCCYBLNDKHHC,大成创业板两年定开混合C,混合型-偏股,DACHENGCHUANGYEBANLIANGNIANDINGKAIHUNHEC
7996,009799,ZYZQAHSNDKZ,中银证券安汇三年定开债,债券型-长债,ZHONGYINZHENGQUANANHUISANNIANDINGKAIZHAI
7997,009800,CSZZJXHHA,长盛制造精选混合A,混合型-偏股,CHANGSHENGZHIZAOJINGXUANHUNHEA
7998,009801,CSZZJXHHC,长盛制造精选混合C,混合型-偏股,CHANGSHENGZHIZAOJINGXUANHUNHEC
7999,009802,DHXTSNDKZFQS,东海祥泰三年定开债发起式,债券型-长债,DONGHAIXIANGTAISANNIANDINGKAIZHAIFAQISHI
8000,009803,YFDZZ710NGKZC,易方达中债7-10年国开债C,债券型-长债,YIFANGDAZHONGZHAI710NIANGUOKAIZHAIC
8001,009804,GTYJYSHH,国泰研究优势混合,混合型-偏股,GUOTAIYANJIUYOUSHIHUNHE
8002,009805,GTYYJKGPA,国泰医药健康股票A,股票型,GUOTAIYIYAOJIANKANGGUPIAOA
8003,009806,DFHZYZXYNHHA,东方红招盈甄选一年混合A,混合型-偏债,DONGFANGHONGZHAOYINGZHENXUANYINIANHUNHEA
8004,009807,DFHZYZXYNHHC,东方红招盈甄选一年混合C,混合型-偏债,DONGFANGHONGZHAOYINGZHENXUANYINIANHUNHEC
8005,009808,YFDCXCZHH,易方达创新成长混合,混合型-偏股,YIFANGDACHUANGXINCHENGZHANGHUNHE
8006,009809,YFDHZ63GYDKZFQS,易方达恒智63个月定开债发起式,债券型-长债,YIFANGDAHENGZHI63GEYUEDINGKAIZHAIFAQISHI
8007,009810,YFDYTYNCYQHHA,易方达悦通一年持有期混合A,混合型-偏债,YIFANGDAYUETONGYINIANCHIYOUQIHUNHEA
8008,009811,YFDYTYNCYQHHC,易方达悦通一年持有期混合C,混合型-偏债,YIFANGDAYUETONGYINIANCHIYOUQIHUNHEC
8009,009812,YFDYXYNCYQHHA,易方达悦兴一年持有期混合A,混合型-偏债,YIFANGDAYUEXINGYINIANCHIYOUQIHUNHEA
8010,009813,YFDYXYNCYQHHC,易方达悦兴一年持有期混合C,混合型-偏债,YIFANGDAYUEXINGYINIANCHIYOUQIHUNHEC
8011,009814,TDHLLY66GYDKZA,泰达宏利乐盈66个月定开债A,债券型-长债,TAIDAHONGLILEYING66GEYUEDINGKAIZHAIA
8012,009815,TDHLLY66GYDKZC,泰达宏利乐盈66个月定开债C,债券型-长债,TAIDAHONGLILEYING66GEYUEDINGKAIZHAIC
8013,009816,DMFY63GYKFZQ,大摩丰裕63个月开放债券,债券型-长债,DAMOFENGYU63GEYUEKAIFANGZHAIQUAN
8014,009817,HTHTWJJXHHA,红塔红土稳健精选混合A,混合型-偏债,HONGTAHONGTUWENJIANJINGXUANHUNHEA
8015,009818,HTHTWJJXHHC,红塔红土稳健精选混合C,混合型-偏债,HONGTAHONGTUWENJIANJINGXUANHUNHEC
8016,009820,JSPH6GYCYQHHA,嘉实浦惠6个月持有期混合A,混合型-偏债,JIASHIPUHUI6GEYUECHIYOUQIHUNHEA
8017,009821,JSPH6GYCYQHHC,嘉实浦惠6个月持有期混合C,混合型-偏债,JIASHIPUHUI6GEYUECHIYOUQIHUNHEC
8018,009822,PHZHYNCYQHHA,鹏华招华一年持有期混合A,混合型-偏债,PENGHUAZHAOHUAYINIANCHIYOUQIHUNHEA
8019,009823,PHZHYNCYQHHC,鹏华招华一年持有期混合C,混合型-偏债,PENGHUAZHAOHUAYINIANCHIYOUQIHUNHEC
8020,009824,PHTLBHBB,鹏华添利宝货币B,货币型,PENGHUATIANLIBAOHUOBIB
8021,009826,MSJYJY6GYCYQZQA,民生加银家盈6个月持有期债券A,债券型-混合债,MINSHENGJIAYINJIAYING6GEYUECHIYOUQIZHAIQUANA
8022,009827,MSJYJY6GYCYQZQC,民生加银家盈6个月持有期债券C,债券型-混合债,MINSHENGJIAYINJIAYING6GEYUECHIYOUQIZHAIQUANC
8023,009828,RTZXSDLLHPZHHC,融通转型三动力灵活配置混合C,混合型-灵活,RONGTONGZHUANXINGSANDONGLILINGHUOPEIZHIHUNHEC
8024,009829,CCYXZQLGYCYHHA,长城优选增强六个月持有混合A,混合型-偏债,CHANGCHENGYOUXUANZENGQIANGLIUGEYUECHIYOUHUNHEA
8025,009830,CCYXZQLGYCYHHC,长城优选增强六个月持有混合C,混合型-偏债,CHANGCHENGYOUXUANZENGQIANGLIUGEYUECHIYOUHUNHEC
8026,009831,CCWLCZA,长城稳利纯债A,债券型-长债,CHANGCHENGWENLICHUNZHAIA
8027,009832,CCWLCZC,长城稳利纯债C,债券型-长债,CHANGCHENGWENLICHUNZHAIC
8028,009833,CJHXTB66GYDKZ,创金合信泰博66个月定开债,债券型-长债,CHUANGJINHEXINTAIBO66GEYUEDINGKAIZHAI
8029,009834,DFHXT66GYDKZ,东方红鑫泰66个月定开债,债券型-长债,DONGFANGHONGXINTAI66GEYUEDINGKAIZHAI
8030,009835,RTXNYQCZTJXHHC,融通新能源汽车主题精选混合C,混合型-灵活,RONGTONGXINNENGYUANQICHEZHUTIJINGXUANHUNHEC
8031,009836,BHHJHY87GYDKZ,渤海汇金汇裕87个月定开债,债券型-长债,BOHAIHUIJINHUIYU87GEYUEDINGKAIZHAI
8032,009837,HXPRYNDKHHA,华夏磐锐一年定开混合A,混合型-偏股,HUAXIAPANRUIYINIANDINGKAIHUNHEA
8033,009838,HXPRYNDKHHC,华夏磐锐一年定开混合C,混合型-偏股,HUAXIAPANRUIYINIANDINGKAIHUNHEC
8034,009839,GJHF39GYDKZ,国金惠丰39个月定开债,债券型-长债,GUOJINHUIFENG39GEYUEDINGKAIZHAI
8035,009840,DCLHJXHHA,东财量化精选混合A,混合型-偏股,DONGCAILIANGHUAJINGXUANHUNHEA
8036,009841,DCLHJXHHC,东财量化精选混合C,混合型-偏股,DONGCAILIANGHUAJINGXUANHUNHEC
8037,009842,DFHMJYXLNDKHH,东方红明鉴优选两年定开混合,混合型-偏债,DONGFANGHONGMINGJIANYOUXUANLIANGNIANDINGKAIHUNHE
8038,009843,ZJTS12GYDKHH,中金泰顺12个月定开混合,混合型-偏股,ZHONGJINTAISHUN12GEYUEDINGKAIHUNHE
8039,009844,HTZJFA27GYDKZQA,华泰紫金丰安27个月定开债券A,债券型-长债,HUATAIZIJINFENGAN27GEYUEDINGKAIZHAIQUANA
8040,009845,HTZJFA27GYDKZQC,华泰紫金丰安27个月定开债券C,债券型-长债,HUATAIZIJINFENGAN27GEYUEDINGKAIZHAIQUANC
8041,009846,GFGGTYJJZHH,国富港股通远见价值混合,混合型-偏股,GUOFUGANGGUTONGYUANJIANJIAZHIHUNHE
8042,009847,YXYFYJJXHHA,圆信永丰研究精选混合A,混合型-偏股,YUANXINYONGFENGYANJIUJINGXUANHUNHEA
8043,009848,YXYFYJJXHHC,圆信永丰研究精选混合C,混合型-偏股,YUANXINYONGFENGYANJIUJINGXUANHUNHEC
8044,009849,AXWJJSYNCYQHHA,安信稳健聚申一年持有期混合A,混合型-平衡,ANXINWENJIANJUSHENYINIANCHIYOUQIHUNHEA
8045,009850,CSSJHHA,长盛盛杰混合A,混合型-偏债,CHANGSHENGSHENGJIEHUNHEA
8046,009851,SYJYY42GYDKZQ,上银聚远盈42个月定开债券,债券型-长债,SHANGYINJUYUANYING42GEYUEDINGKAIZHAIQUAN
8047,009852,YHPZXFGP,银华品质消费股票,股票型,YINHUAPINZHIXIAOFEIGUPIAO
8048,009853,ZJYSQYHHA,中加优势企业混合A,混合型-偏股,ZHONGJIAYOUSHIQIYEHUNHEA
8049,009854,ZJYSQYHHC,中加优势企业混合C,混合型-偏股,ZHONGJIAYOUSHIQIYEHUNHEC
8050,009855,ZJXXCZHHA,中加新兴成长混合A,混合型-偏股,ZHONGJIAXINXINGCHENGZHANGHUNHEA
8051,009856,ZJXXCZHHC,中加新兴成长混合C,混合型-偏股,ZHONGJIAXINXINGCHENGZHANGHUNHEC
8052,009857,BSJZZXCYQHHA,博时价值臻选持有期混合A,混合型-灵活,BOSHIJIAZHIZHENXUANCHIYOUQIHUNHEA
8053,009858,BSJZZXCYQHHC,博时价值臻选持有期混合C,混合型-灵活,BOSHIJIAZHIZHENXUANCHIYOUQIHUNHEC
8054,009859,YHLXHH,银华乐享混合,混合型-偏股,YINHUALEXIANGHUNHE
8055,009860,YFDZZYHZSLOFC,易方达中证银行指数(LOF)C,指数型-股票,YIFANGDAZHONGZHENGYINHANGZHISHULOFC
8056,009861,PHXXCZHHA,鹏华新兴成长混合A,混合型-偏股,PENGHUAXINXINGCHENGCHANGHUNHEA
8057,009862,PHXXCZHHC,鹏华新兴成长混合C,混合型-偏股,PENGHUAXINXINGCHENGCHANGHUNHEC
8058,009863,FGCXQSGP,富国创新趋势股票,股票型,FUGUOCHUANGXINQUSHIGUPIAO
8059,009864,ZSJQYXGPA,招商景气优选股票A,股票型,ZHAOSHANGJINGQIYOUXUANGUPIAOA
8060,009865,ZSJQYXGPC,招商景气优选股票C,股票型,ZHAOSHANGJINGQIYOUXUANGUPIAOC
8061,009866,YYRN87GYDKZ,永赢瑞宁87个月定开债,债券型-长债,YONGYINGRUINING87GEYUEDINGKAIZHAI
8062,009867,GYCXJXYNDKHHA,工银创新精选一年定开混合A,混合型-偏股,GONGYINCHUANGXINJINGXUANYINIANDINGKAIHUNHEA
8063,009868,GYCXJXYNDKHHC,工银创新精选一年定开混合C,混合型-偏股,GONGYINCHUANGXINJINGXUANYINIANDINGKAIHUNHEC
8064,009869,JSCYXFHHA,嘉实产业先锋混合A,混合型-偏股,JIASHICHANYEXIANFENGHUNHEA
8065,009870,JSCYXFHHC,嘉实产业先锋混合C,混合型-偏股,JIASHICHANYEXIANFENGHUNHEC
8066,009871,JSCCJRSYZQC,景顺长城景瑞收益债券C,债券型-长债,JINGSHUNCHANGCHENGJINGRUISHOUYIZHAIQUANC
8067,009872,ZOZRTZHHA,中欧责任投资混合A,混合型-偏股,ZHONGOUZERENTOUZIHUNHEA
8068,009873,ZOZRTZHHC,中欧责任投资混合C,混合型-偏股,ZHONGOUZERENTOUZIHUNHEC
8069,009874,JTJRLHGP,九泰久睿量化股票,股票型,JIUTAIJIURUILIANGHUAGUPIAO
8070,009875,THZXSPYLGPA,天弘甄选食品饮料股票A,股票型,TIANHONGZHENXUANSHIPINYINLIAOGUPIAOA
8071,009876,THZXSPYLGPC,天弘甄选食品饮料股票C,股票型,TIANHONGZHENXUANSHIPINYINLIAOGUPIAOC
8072,009877,ZYNHQDGPA,中银内核驱动股票A,股票型,ZHONGYINNEIHEQUDONGGUPIAOA
8073,009878,PADTJJHHA,平安低碳经济混合A,混合型-偏股,PINGANDITANJINGJIHUNHEA
8074,009879,PADTJJHHC,平安低碳经济混合C,混合型-偏股,PINGANDITANJINGJIHUNHEC
8075,009880,AXCZDLYNCYHH,安信成长动力一年持有混合,混合型-偏股,ANXINCHENGZHANGDONGLIYINIANCHIYOUHUNHE
8076,009881,GFZZYLZSLOFC,广发中证医疗指数(LOF)C,指数型-股票,GUANGFAZHONGZHENGYILIAOZHISHULOFC
8077,009882,HRYDHXDLHHA,华润元大核心动力混合A,混合型-偏股,HUARUNYUANDAHEXINDONGLIHUNHEA
8078,009883,HRYDHXDLHHC,华润元大核心动力混合C,混合型-偏股,HUARUNYUANDAHEXINDONGLIHUNHEC
8079,009884,MSJYKNPHYLMBSNCYHHFOF,民生加银康宁平衡养老目标三年持有混合(FOF),混合型-平衡,MINSHENGJIAYINKANGNINGPINGHENGYANGLAOMUBIAOSANNIANCHIYOUHUNHEFOF
8080,009885,XHJQHYHHA,新华景气行业混合A,混合型-偏股,XINHUAJINGQIHANGYEHUNHEA
8081,009886,XHJQHYHHC,新华景气行业混合C,混合型-偏股,XINHUAJINGQIHANGYEHUNHEC
8082,009887,GFWJYXLGYCYQHHA,广发稳健优选六个月持有期混合A,混合型-偏股,GUANGFAWENJIANYOUXUANLIUGEYUECHIYOUQIHUNHEA
8083,009888,GFWJYXLGYCYQHHC,广发稳健优选六个月持有期混合C,混合型-偏股,GUANGFAWENJIANYOUXUANLIUGEYUECHIYOUQIHUNHEC
8084,009889,HRYDRX39GYDKZA,华润元大润禧39个月定开债A,债券型-长债,HUARUNYUANDARUNXI39GEYUEDINGKAIZHAIA
8085,009890,HRYDRX39GYDKZC,华润元大润禧39个月定开债C,债券型-长债,HUARUNYUANDARUNXI39GEYUEDINGKAIZHAIC
8086,009891,RTCYQSZXGP,融通产业趋势臻选股票,股票型,RONGTONGCHANYEQUSHIZHENXUANGUPIAO
8087,009892,FGCZCLHH,富国成长策略混合,混合型-偏股,FUGUOCHENGZHANGCELUEHUNHE
8088,009893,DMYYAHHH,大摩优悦安和混合,混合型-偏股,DAMOYOUYUEANHEHUNHE
8089,009894,QHKYHY39GYDKZQ,前海开源惠盈39个月定开债券,债券型-长债,QIANHAIKAIYUANHUIYING39GEYUEDINGKAIZHAIQUAN
8090,009895,STMGRS87GYDKZ,上投摩根瑞盛87个月定开债,债券型-长债,SHANGTOUMOGENRUISHENG87GEYUEDINGKAIZHAI
8091,009896,GFGGTCZJXGPA,广发港股通成长精选股票A,股票型,GUANGFAGANGGUTONGCHENGZHANGJINGXUANGUPIAOA
8092,009897,GFGGTCZJXGPC,广发港股通成长精选股票C,股票型,GUANGFAGANGGUTONGCHENGZHANGJINGXUANGUPIAOC
8093,009898,MSJYYYJKGP,民生加银医药健康股票,股票型,MINSHENGJIAYINYIYAOJIANKANGGUPIAO
8094,009899,SYNXZZGP,上银内需增长股票,股票型,SHANGYINNEIXUZENGZHANGGUPIAO
8095,009900,YFDPGLGYCYQHHA,易方达磐固六个月持有期混合A,混合型-偏债,YIFANGDAPANGULIUGEYUECHIYOUQIHUNHEA
8096,009901,YFDPGLGYCYQHHC,易方达磐固六个月持有期混合C,混合型-偏债,YIFANGDAPANGULIUGEYUECHIYOUQIHUNHEC
8097,009902,YFDYXYNCYHHA,易方达悦享一年持有混合A,混合型-偏债,YIFANGDAYUEXIANGYINIANCHIYOUHUNHEA
8098,009903,YFDYXYNCYHHC,易方达悦享一年持有混合C,混合型-偏债,YIFANGDAYUEXIANGYINIANCHIYOUHUNHEC
8099,009904,MSJYZZ200ZSZQA,民生加银中证200指数增强A,指数型-股票,MINSHENGJIAYINZHONGZHENG200ZHISHUZENGQIANGA
8100,009905,MSJYZZ200ZSZQC,民生加银中证200指数增强C,指数型-股票,MINSHENGJIAYINZHONGZHENG200ZHISHUZENGQIANGC
8101,009906,NDAR39GYDK,诺德安瑞39个月定开,债券型-长债,NUODEANRUI39GEYUEDINGKAI
