,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
9817,160644,鹏华港美互联股票人民币,,,1.3903,1.3943,,,开放申购,开放赎回,0.15%
9818,007393,上银未来生活灵活配置混合,,,1.3831,1.3831,,,开放申购,开放赎回,0.15%
9819,007280,上投摩根日本精选股票(QDII),,,1.3759,1.3759,,,开放申购,开放赎回,0.15%
9820,005216,南方全天候策略(FOF)C,,,1.3714,1.3714,,,开放申购,开放赎回,0.00%
9821,006328,易方达中证海外50ETF联接人民币C,,,1.3702,1.3702,,,开放申购,开放赎回,0.00%
9822,004888,财通资管鑫逸混合A,,,1.3594,1.3594,,,开放申购,开放赎回,0.12%
9823,008754,泰康睿福3月持有混合(FOF)A,,,1.3586,1.3586,,,开放申购,开放赎回,0.10%
9824,008253,华宝致远混合(QDII)A,,,1.3545,1.3545,,,开放申购,开放赎回,0.15%
9825,008755,泰康睿福3月持有混合(FOF)C,,,1.3485,1.3485,,,开放申购,开放赎回,0.00%
9826,004889,财通资管鑫逸混合C,,,1.3480,1.3480,,,开放申购,开放赎回,0.12%
9827,378006,上投摩根全球新兴市场混合,,,1.3479,1.3479,,,开放申购,开放赎回,0.16%
9828,000103,国泰中国企业境外高收益债,,,1.3472,1.3472,,,开放申购,开放赎回,0.08%
9829,008254,华宝致远混合(QDII)C,,,1.3457,1.3457,,,开放申购,开放赎回,0.00%
9830,009146,新华精选成长3个月混合(FOF),,,1.3415,1.3415,,,开放申购,开放赎回,0.10%
9831,183001,银华全球优选,,,1.34,1.34,,,限大额,开放赎回,0.16%
9832,862001,光大阳光香港精选混合(QDII)人民币A,,,1.3296,1.7552,,,开放申购,开放赎回,0.12%
9833,007721,天弘标普500(QDII-FOF)A,,,1.3149,1.3149,,,开放申购,开放赎回,1.00%
9834,000342,嘉实新兴市场A1(QDII),,,1.3140,1.5820,,,限大额,开放赎回,0.08%
9835,000274,广发亚太中高收益债券,,,1.3090,1.3790,,,开放申购,开放赎回,0.08%
9836,007722,天弘标普500(QDII-FOF)C,,,1.3086,1.3086,,,开放申购,开放赎回,0.00%
9837,001061,华夏收益债券(QDII)A,,,1.3070,1.5090,,,限大额,开放赎回,0.08%
9838,118001,易方达亚洲精选股票,,,1.3040,1.3040,,,限大额,开放赎回,0.16%
9839,005217,建信福泽安泰混合(FOF),,,1.3014,1.3014,,,开放申购,开放赎回,0.08%
9840,070031,嘉实全球房地产(QDII),,,1.29,1.5870,,,开放申购,开放赎回,0.15%
9841,001092,广发生物科技指数(QDII),,,1.2870,1.2870,,,限大额,开放赎回,0.13%
9842,006445,华夏全球聚享A人民币,,,1.2857,1.2857,,,开放申购,开放赎回,0.10%
9843,006282,上投欧洲动力(QDII),,,1.2813,1.2813,,,开放申购,开放赎回,0.15%
9844,005613,上投富时发达市场REITs,,,1.2754,1.2754,,,开放申购,开放赎回,0.10%
9845,006448,华夏全球聚享C人民币,,,1.2724,1.2724,,,开放申购,开放赎回,0.00%
9846,001063,华夏收益债券(QDII)C,,,1.2670,1.4620,,,限大额,开放赎回,0.00%
9847,005976,长信稳进资产配置(FOF),,,1.2662,1.3052,,,暂停申购,开放赎回,0.80%
9848,470888,汇添富香港混合(QDII),,,1.2640,1.4140,,,开放申购,开放赎回,0.12%
9849,000341,嘉实新兴市场C2(QDII),,,1.2580,1.3130,,,限大额,开放赎回,0.00%
9850,000179,广发美国房地产指数,,,1.2580,1.6940,,,开放申购,开放赎回,0.13%
9851,202801,南方全球精选配置,,,1.2550,1.33,,,开放申购,开放赎回,0.16%
9852,006991,民生加银康宁养老(FOF),,,1.2503,1.2503,,,限大额,开放赎回,0.10%
9853,000041,华夏全球股票(QDII),,,1.2310,1.2310,,,开放申购,开放赎回,0.16%
9854,009225,天弘中证中美互联网(QDII)A,,,1.2295,1.2295,,,开放申购,开放赎回,0.10%
