,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma8,ma25,ma8_-1,ma25_-1,close5v,close10v,close20v,close30v,b
1851,000002.SZ,20130307,8.2878,8.5418,8.1383,8.3774,8.3326,0.0448000000000003,0.5376,1146701.35,1277049.7826,8.432537499999997,8.703560000000008,8.413862499999997,8.725684000000008,9.634254064506887,9.821663045813736,9.794924439563587,10.428175806336096,0
1850,000002.SZ,20130308,8.3849,8.4447,8.1831,8.1906,8.3774,-0.1867999999999998,-2.2298,706000.23,783976.6024,8.445612499999998,8.681440000000007,8.432537499999997,8.703560000000008,9.56205894562059,10.036505262129758,10.027348423802895,10.291920005860378,0
1849,000002.SZ,20130311,8.1458,8.4148,8.071,8.3027,8.1906,0.1120999999999998,1.3686,666670.92,743149.7403,8.425999999999997,8.653040000000008,8.445612499999998,8.681440000000007,9.621930215472076,10.02697917544895,9.937008443036603,10.171028701506739,0
1848,000002.SZ,20130312,8.2579,8.5568,8.2504,8.3849,8.3027,0.0822000000000002,0.99,978310.67,1100966.5739,8.353137499999997,8.623444000000008,8.425999999999997,8.653040000000008,9.759329270474304,9.910911280993215,9.803933260981047,9.786163221982374,0
1847,000002.SZ,20130313,8.37,8.37,8.1233,8.1831,8.3849,-0.2018000000000004,-2.4067,645846.52,708390.0491,8.251312499999997,8.572028000000007,8.353137499999997,8.623444000000008,10.246605809534284,10.273979298798743,9.972626510735541,10.073077440089943,0
1846,000002.SZ,20130314,8.086,8.228,7.9515,8.071,8.1831,-0.1120999999999998,-1.3699,704963.18,761951.1696,8.247574999999998,8.535856000000006,8.251312499999997,8.572028000000007,10.19452360302317,10.148184859373064,10.212984760252757,10.500061950192045,0
1845,000002.SZ,20130315,8.0337,8.2056,7.7198,7.8319,8.071,-0.2390999999999996,-2.9625,1049997.33,1113087.9615,8.209274999999998,8.491616000000006,8.247574999999998,8.535856000000006,10.496175896015014,10.267112705729133,11.106883387172973,10.868371659495143,0
1844,000002.SZ,20130318,7.7945,8.071,7.7945,7.9888,7.8319,0.1569000000000002,2.0033,629209.81,669162.0486,8.166299999999998,8.455444000000005,8.209274999999998,8.491616000000006,10.420964350090127,10.290031043460843,10.898132385339476,10.589325055077108,0
1843,000002.SZ,20130319,8.0038,8.2429,7.929,8.1831,7.9888,0.1942999999999992,2.4322,709967.09,773139.6048,8.142012499999998,8.414192000000005,8.166299999999998,8.455444000000005,10.155320110960396,10.228397551050335,10.68494824699686,10.575332086861948,0
1842,000002.SZ,20130320,8.1906,8.5344,8.1532,8.3849,8.1831,0.2018000000000004,2.4661,1045528.1,1177130.0311,8.166299999999998,8.386092000000005,8.142012499999998,8.414192000000005,10.026714689501365,9.982229961001323,10.615034168564922,10.463452158046012,0
1841,000002.SZ,20130321,8.3924,8.4447,8.1009,8.228,8.3849,-0.1569000000000002,-1.8712,806103.77,891271.1828,8.156962499999997,8.360088000000005,8.166299999999998,8.386092000000005,9.954545454545455,9.972775887214391,10.617525522605737,10.526737967914439,0
1840,000002.SZ,20130322,8.2205,8.2803,8.086,8.2205,8.228,-0.0075000000000002,-0.0912,684082.12,746499.8845,8.136412499999997,8.329300000000005,8.156962499999997,8.360088000000005,9.781765099446506,9.990876467368166,10.254485736877319,10.681832005352474,0
1839,000002.SZ,20130325,8.2579,8.4073,8.1532,8.3251,8.2205,0.1046000000000013,1.2724,595364.98,662996.5044,8.154162499999998,8.312560000000005,8.136412499999997,8.329300000000005,9.874355863593228,9.910271348091914,10.143661937994736,10.430865695306961,0
1838,000002.SZ,20130326,8.3475,8.6465,8.2952,8.3102,8.3251,-0.0149000000000008,-0.179,972412.13,1100471.359,8.184062499999998,8.310168000000004,8.154162499999998,8.312560000000005,10.071959760294577,9.892060359558133,9.874130586508148,10.179779066689129,0
1837,000002.SZ,20130327,8.2878,8.5418,8.2878,8.4073,8.3102,0.0970999999999993,1.1684,607697.98,685761.2095,8.255987499999998,8.304488000000005,8.184062499999998,8.310168000000004,9.955633794440546,9.706683477454119,9.80445565163608,10.053405968622506,0
1836,000002.SZ,20130328,8.2579,8.2728,7.8468,8.1906,8.4073,-0.2166999999999994,-2.5775,1051441.56,1139383.1687,8.281212499999999,8.294024000000004,8.255987499999998,8.304488000000005,10.018313676653726,10.063853685932656,10.34673894464386,10.847801137889777,0
1835,000002.SZ,20130329,8.1757,8.2056,8.0038,8.0411,8.1906,-0.1494999999999997,-1.8253,418949.95,453369.3499,8.2634625,8.277284000000003,8.281212499999999,8.294024000000004,10.213776722090259,10.817922920993396,10.585616395766749,11.483876584049444,0
1834,000002.SZ,20130401,8.0935,8.4073,8.0935,8.2205,8.0411,0.1793999999999993,2.231,678438.59,751705.1533,8.2429125,8.276984000000004,8.2634625,8.277284000000003,10.036372483425584,10.590961620339396,10.290858220302901,11.020862477951463,0
1833,000002.SZ,20130402,8.2728,8.5568,8.2205,8.37,8.2205,0.1494999999999997,1.8186,905430.03,1022376.8053,8.260662499999999,8.288344000000002,8.2429125,8.276984000000004,9.821385902031064,10.44635603345281,10.339187574671447,10.914695340501794,0
1832,000002.SZ,20130403,8.3924,8.5418,8.228,8.37,8.37,0.0,0.0,539104.64,603385.104,8.279349999999999,8.284760000000004,8.260662499999999,8.288344000000002,9.74994026284349,10.633930704898448,10.482078853046596,10.978255675029871,0
1831,000002.SZ,20130408,8.1308,8.2728,7.9216,8.2056,8.37,-0.1643999999999987,-1.9642,664568.64,721698.1674,8.264412499999999,8.254272000000004,8.279349999999999,8.284760000000004,10.04545676123623,10.64650970069221,10.555474310227162,11.114848396217216,1
1830,000002.SZ,20130409,8.2056,8.4073,8.1682,8.213,8.2056,0.0073999999999987,0.0902,656858.3,726102.1368,8.252262499999999,8.222884000000002,8.264412499999999,8.254272000000004,10.591501278460978,10.263849993912093,10.691586509192746,11.012419335200292,0
1829,000002.SZ,20130410,8.2429,8.37,8.1757,8.2504,8.213,0.0374000000000016,0.4554,608132.32,674157.528,8.23265,8.228864000000003,8.252262499999999,8.222884000000002,10.552579268883932,10.23550373315233,10.525307863861144,10.861291573741878,0
1828,000002.SZ,20130411,8.3625,8.4821,8.213,8.2205,8.2504,-0.0299000000000013,-0.3624,515638.41,575027.0048,8.2363875,8.232152000000003,8.23265,8.228864000000003,10.636335989295056,9.98187458183809,10.290858220302901,11.418040265190683,0
1827,000002.SZ,20130412,8.1757,8.2728,8.1383,8.1607,8.2205,-0.0597999999999991,-0.7274,377442.02,413198.2739,8.2513375,8.225276000000003,8.2363875,8.232152000000003,10.906662418665064,10.100726653350815,10.357199750021444,11.464580244341784,0
1826,000002.SZ,20130415,8.2056,8.3625,8.0337,8.2429,8.1607,0.0822000000000002,1.0073,652943.67,719172.6502,8.2541375,8.219896000000002,8.2513375,8.225276000000003,10.5983331109197,10.281090392944229,10.778973419548946,11.341032888910457,0
1825,000002.SZ,20130416,8.1682,8.7137,8.1458,8.6988,8.2429,0.4558999999999997,5.5308,1424953.45,1615868.4212,8.2952375,8.240224000000003,8.2541375,8.219896000000002,9.690646985791144,9.785257736699315,10.615602152020966,10.458568998022715,0
1824,000002.SZ,20130417,8.6913,8.8856,8.5344,8.7063,8.6988,0.0075000000000002,0.0862,877201.44,1022448.5611,8.337275000000002,8.256368000000004,8.2952375,8.240224000000003,9.699527928052099,9.716641971905402,10.405912959580991,10.466903276937389,0
1823,000002.SZ,20130418,8.639,8.9155,8.6091,8.7436,8.7063,0.0373000000000001,0.4284,655828.88,772023.7034,8.404525000000001,8.270716000000004,8.337275000000002,8.256368000000004,9.384692803879409,9.897410677524132,10.448327919849946,10.300677066654467,0
1822,000002.SZ,20130419,8.7735,8.9155,8.6614,8.9006,8.7436,0.157,1.7956,869135.42,1027355.7653,8.490475000000002,8.299416000000004,8.404525000000001,8.270716000000004,9.261061052063905,9.857200638159224,10.323798395613778,10.093364492281419,0
1821,000002.SZ,20130422,8.923,8.9678,8.5269,8.7361,8.9006,-0.1645000000000003,-1.8482,969358.3,1128958.1585,8.551187500000001,8.326020000000005,8.490475000000002,8.299416000000004,9.700667345840822,9.914492737033688,10.439898810682111,9.987866439257791,0
1820,000002.SZ,20130423,8.6539,8.6539,8.2056,8.4297,8.7361,-0.3064,-3.5073,1004754.36,1127826.7134,8.5773375,8.349932000000004,8.551187500000001,8.326020000000005,10.097630995171833,10.416740809281468,10.72932607328849,10.098698648824989,0
1819,000002.SZ,20130424,8.4297,8.5493,8.2504,8.4447,8.4297,0.0149999999999987,0.1779,1007743.05,1132186.2351,8.612837500000001,8.368168000000004,8.5773375,8.349932000000004,10.017644202872809,10.28313616824754,10.611389392163133,9.595130673676982,0
1818,000002.SZ,20130425,8.3999,8.3999,8.1532,8.2056,8.4447,-0.2390999999999987,-2.8314,1026908.66,1133098.8108,8.608175000000001,8.369068000000006,8.612837500000001,8.368168000000004,10.546334210782879,10.309544701179682,11.43877352052257,9.893243638490786,0
1817,000002.SZ,20130426,8.213,8.3625,8.213,8.2429,8.2056,0.0373000000000001,0.4546,484443.43,537329.6157,8.551187500000001,8.363388000000006,8.608175000000001,8.369068000000006,10.643705491999174,10.253915490907326,11.350252944958692,9.516796273156292,0
1816,000002.SZ,20130502,8.1308,8.5045,8.1159,8.4746,8.2429,0.2317,2.8109,731063.11,819958.4966,8.522225,8.373252000000006,8.551187500000001,8.363388000000006,10.220423382814527,10.484270644042194,11.030963113303283,9.355249805300545,0
1815,000002.SZ,20130503,8.4821,8.7436,8.4746,8.512,8.4746,0.0373999999999998,0.4413,1006540.64,1160158.7449,8.493275,8.384912000000007,8.522225,8.373252000000006,10.316024436090226,10.848566729323307,10.688087406015036,9.091047932330826,0
1814,000002.SZ,20130506,8.512,8.5792,8.3999,8.4596,8.512,-0.0524000000000004,-0.6156,705483.75,800310.1843,8.43815,8.390292000000006,8.493275,8.384912000000007,10.265024351033144,10.70937160149416,10.772140526738854,8.905030970731477,0
